figure_type,figure_no,title_name,variable,flip_sign,variable_rename,regions,models,years,scenarios,type,position,x,y,facet1,facet2,color,page_filter,scales
stackbar,15,Electricity Capacity,Capacity|Electricity|Wind,0,Wind,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Biomass|w/ CCS,0,Biomass w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Biomass|w/o CCS,0,Biomass w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Coal|w/ CCS,0,Coal w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Coal|w/o CCS,0,Coal w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Gas|w/ CCS,0,Gas w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Gas|w/o CCS,0,Gas w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Oil|w/ CCS,0,Oil w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Oil|w/o CCS,0,Oil w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Biomass|w/ CCS,0,Biomass w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Biomass|w/o CCS,0,Biomass w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Coal|w/ CCS,0,Coal w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Coal|w/o CCS,0,Coal w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Gas|w/ CCS,0,Gas w/ CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Gas|w/o CCS,0,Gas w/o CCS,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Oil|w/ CCS,0,Oil,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Oil|w/o CCS,0,Oil,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Hydrogen,0,Hydrogen,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Synthetic Gas,0,Synthetic Gas,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Synthetic Liquids,0,Synthetic Liquids,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Geothermal,0,Geothermal,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Hydro,0,Hydro,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Nuclear,0,Nuclear,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Ocean,0,Ocean,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Solar,0,Solar,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,18,Electricity Generation,Secondary Energy|Electricity|Wind,0,Wind,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035,0,Gas w/o CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035,0,Gas w/ CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035,0,Gas w/o CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Gas|w/ CCS|Average 2021-2035,0,Gas w/ CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Coal|w/o CCS|Average 2021-2035,0,Coal w/o CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035,0,Coal w/ CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035,0,Coal w/o CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Coal|w/ CCS|Average 2021-2035,0,Coal w/ CCS,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Hydro|Average 2021-2035,0,Hydro,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Hydro|Average 2021-2035,0,Hydro,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Nuclear|Average 2021-2035,0,Nuclear,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Nuclear|Average 2021-2035,0,Nuclear,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Solar|Average 2021-2035,0,Solar,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Solar|Average 2021-2035,0,Solar,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Wind|Average 2021-2035,0,Wind,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Wind|Average 2021-2035,0,Wind,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Additions|Electricity|Storage Capacity|Average 2021-2035,0,Storage,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,19,Capacity Additions Alt,Capacity Retirements|Electricity|Storage Capacity|Average 2021-2035,0,Storage,usa,models_leep,thirtyfive_only,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2|Energy|Demand|Industry,0,Cement,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2|Energy|Demand|Transportation,0,Food Processing,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2|Energy|Demand|Buildings,0,Other Heavy Industry,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2|Energy|Supply|Electricity,0,Iron and Steel,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2,0,Paper,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO2|Energy|Demand|Industry and Fuel Production,0,Other Light Industry,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CO,0,Refining,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,20,Industrial Emissions,Emissions|CH4,0,Chemicals,usa,models_leep,ghgi_yrs,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,21,Industrial CCS,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,0,Industrial CCS,usa,models_leep,ira_2030_2035,main_scenarios,single,stack,year,value,,,model,region,fixed
stackbar,21,Industrial CCS,Carbon Sequestration|CCS|Energy|Demand|Industry,0,Industrial CCS,usa,models_leep,ira_2030_2035,main_scenarios,single,stack,year,value,,,model,region,fixed
