variable,unit,model,2020,2025,2030,2035
NGCC with CCS,Capital Costs (2020$/kW),IPM-NRDC,,2155.639463,2001.038667,1854.113088
NGCC with CCS,Capital Costs (2020$/kW),MARKAL-NETL,,1471.5556,1471.5556,1471.5556
NGCC with CCS,Capital Costs (2020$/kW),NEMS-RHG,,2171.166524,2002.067164,1872.69365
NGCC with CCS,Capital Costs (2020$/kW),ReEDS-NREL,,1457.356877,1306.096913,1154.836948
NGCC with CCS,Capital Costs (2020$/kW),REGEN-EPRI,,2004.48,1795.5,1690
NGCC with CCS,Capital Costs (2020$/kW),RIO-REPEAT,,2540.07,2445.86,2354.25
NGCC with CCS,Capital Costs (2020$/kW),NREL 2022 ATB - Adv.,2630.406445,1937.444014,1734.598998,1532.850442
NGCC with CCS,Capital Costs (2020$/kW),NREL 2022 ATB - Mod.,2630.406445,2155.639463,2001.038667,1854.113088
NGCC with CCS,Capital Costs (2020$/kW),NREL 2022 ATB - Con.,2630.406445,2373.834912,2267.478336,2174.279275
NGCC,Capital Costs (2020$/kW),EPS-EI,,940.762,912.254,891.422
NGCC,Capital Costs (2020$/kW),GCAM-CGS,,1097,998,937
NGCC,Capital Costs (2020$/kW),Haiku-RFF,,1058.836799,980.8337643,908.7822696
NGCC,Capital Costs (2020$/kW),IPM-NRDC,,,,
NGCC,Capital Costs (2020$/kW),MARKAL-NETL,,787.5431,787.5431,774.0897
NGCC,Capital Costs (2020$/kW),NEMS-RHG,,960.8989361,890.5736096,847.9842333
NGCC,Capital Costs (2020$/kW),ReEDS-NREL,,858.0002275,832.0005527,812.999684
NGCC,Capital Costs (2020$/kW),REGEN-EPRI,,854.7058388,720.8822369,720.8822369
NGCC,Capital Costs (2020$/kW),RIO-REPEAT,,1016.35,992.49,972.52
NGCC,Capital Costs (2020$/kW),NREL 2022 ATB - Adv.,1038,941,912,891
NGCC,Capital Costs (2020$/kW),NREL 2022 ATB - Mod.,1038,941,912,891
NGCC,Capital Costs (2020$/kW),NREL 2022 ATB - Con.,1038,941,912,891
Battery Storage (4-Hour),Capital Costs (2020$/kW),EPS-EI,,1103.54,911.172,832.02
Battery Storage (4-Hour),Capital Costs (2020$/kW),GCAM-CGS,,1034,842,790
