"model","scenario","year","variable","value","unit","region"
"EIA","Historic",1970,"Primary Energy|Coal",12.9397620460219,"EJ/yr","United States"
"EIA","Historic",1970,"Primary Energy|Gas",22.9946331764881,"EJ/yr","United States"
"EIA","Historic",1970,"Primary Energy|Oil",31.1233014974962,"EJ/yr","United States"
"EIA","Historic",1971,"Primary Energy|Coal",12.2369714066422,"EJ/yr","United States"
"EIA","Historic",1971,"Primary Energy|Gas",23.7061048154231,"EJ/yr","United States"
"EIA","Historic",1971,"Primary Energy|Oil",32.2200531574117,"EJ/yr","United States"
"EIA","Historic",1972,"Primary Energy|Coal",12.741821962456,"EJ/yr","United States"
"EIA","Historic",1972,"Primary Energy|Gas",23.9478582033808,"EJ/yr","United States"
"EIA","Historic",1972,"Primary Energy|Oil",34.7312844371476,"EJ/yr","United States"
"EIA","Historic",1973,"Primary Energy|Coal",13.6856464417018,"EJ/yr","United States"
"EIA","Historic",1973,"Primary Energy|Gas",23.7518383214666,"EJ/yr","United States"
"EIA","Historic",1973,"Primary Energy|Oil",36.722300382688,"EJ/yr","United States"
"EIA","Historic",1974,"Primary Energy|Coal",13.360043544913,"EJ/yr","United States"
"EIA","Historic",1974,"Primary Energy|Gas",22.9289886563939,"EJ/yr","United States"
"EIA","Historic",1974,"Primary Energy|Oil",35.2606133437981,"EJ/yr","United States"
"EIA","Historic",1975,"Primary Energy|Coal",13.3599464797746,"EJ/yr","United States"
"EIA","Historic",1975,"Primary Energy|Gas",21.046130706529,"EJ/yr","United States"
"EIA","Historic",1975,"Primary Energy|Oil",34.4990402675897,"EJ/yr","United States"
"EIA","Historic",1976,"Primary Energy|Coal",14.3319493907322,"EJ/yr","United States"
"EIA","Historic",1976,"Primary Energy|Gas",21.4655607753471,"EJ/yr","United States"
"EIA","Historic",1976,"Primary Energy|Oil",37.0767569469342,"EJ/yr","United States"
"EIA","Historic",1977,"Primary Energy|Coal",14.6885962509285,"EJ/yr","United States"
"EIA","Historic",1977,"Primary Energy|Gas",21.027804386369,"EJ/yr","United States"
"EIA","Historic",1977,"Primary Energy|Oil",39.1242584727122,"EJ/yr","United States"
