variable,new_variable,start_yr,end_yr
Emissions Intensity|CO2|Electricity,Emissions Intensity|CO2|Electricity|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy|Demand|Industry|Indirect,Emissions|CO2|Energy|Demand|Industry|Indirect|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy|Demand|Industry|Non Mfg,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Annual Growth Rate 2020-2035,2020,2035
Final Energy|Industry,Final Energy|Industry|Annual Growth Rate 2020-2035,2020,2035
Final Energy|Industry|Electricity,Final Energy|Industry|Electricity|Annual Growth Rate 2020-2035,2020,2035
Final Energy|Industry|Non-Electricity,Final Energy|Industry|Non-Electricity|Annual Growth Rate 2020-2035,2020,2035
Price|Carbon,Price|Carbon|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Direct Air Capture,Emissions|CO2|Direct Air Capture|Annual Growth Rate 2020-2035,2020,2035
Emissions|CO2|Energy,Emissions|CO2|Energy|Annual Growth Rate 2020-2035,2020,2035
Emissions Intensity|CO2|Electricity,Emissions Intensity|CO2|Electricity|Annual Growth Rate 2020-2050,2020,2050
Emissions Intensity|CO2|Final Energy,Emissions Intensity|CO2|Final Energy|Annual Growth Rate 2020-2050,2020,2050
Emissions Intensity|CO2|Primary Energy,Emissions Intensity|CO2|Primary Energy|Annual Growth Rate 2020-2050,2020,2050
Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Annual Growth Rate 2020-2050,2020,2050
Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Annual Growth Rate 2020-2050,2020,2050
