variable,year,replace
Emissions|CH4,2025,653
Emissions|CH4,2030,653
Emissions|CH4,2035,651
Emissions|N2O,2025,417
Emissions|N2O,2030,413
Emissions|N2O,2035,410
Emissions|F-Gases,2025,171
Emissions|F-Gases,2030,175
Emissions|F-Gases,2035,142
