model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture,Mt CO2/yr,19.60552178,18.88950605,19.82975314,20.93609327,23.77108796,24.81341883,25.52042589,27.86652143,30.76384642,32.51139695
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Crops,Mt CO2/yr,19.60552178,18.88950605,19.82975314,20.93609327,23.77108796,24.81341883,25.52042589,27.86652143,30.76384642,32.51139695
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,1999.204278,1880.210964,1900.772086,1701.48381,1673.165645,1384.886393,1138.96175,917.8897001,770.4324942,661.6337461
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr,580.1555223,559.1964937,560.817672,509.9853523,509.9995328,454.5112507,395.6702684,361.8404972,315.4898162,277.5863184
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Freight|Road,Mt CO2/yr,422.7689623,403.2202319,404.7357902,362.485698,360.9327587,314.1528433,264.7236413,246.2311272,214.1694775,185.6717608
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr,1419.048756,1321.01447,1339.954414,1191.498458,1163.166112,930.3751425,743.2914815,556.0492029,454.942678,384.0474277
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Passenger|Aviation,Mt CO2/yr,52.54781861,43.32443405,46.26858751,42.6920567,44.36849776,42.00012127,40.21979287,37.00243965,33.04619085,30.06125276
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Passenger|Road,Mt CO2/yr,1164.209237,1110.711395,1115.451764,974.4410144,926.9835782,709.3235131,529.9047988,358.6125232,278.1567306,222.362544
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Demand|Transportation|Pipeline,Mt CO2/yr,29.7033027,34.08936977,34.15228977,35.05729652,35.32305654,34.54953647,33.46332304,33.84007308,34.54502647,35.76620992
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Supply,Mt CO2/yr,2702.279075,2523.320579,2189.978926,1499.263995,1234.844542,915.7793755,864.8356215,845.6919233,851.5354296,881.1735641
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Supply|Biomass Liquids,Mt CO2/yr,1.011765521,2.928044743,4.114007345,3.819553126,3.845450222,3.43364949,1.954811531,-1.431075013,-3.538826539,-6.132636231
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2522.066002,2375.111926,1985.391613,1314.581196,1062.496655,750.2166073,714.5111799,698.5467895,709.8374643,742.2274048
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Supply|Hydrogen,Mt CO2/yr,0,0,0,0.010872484,0.59008492,5.764603843,10.45632585,24.4085721,31.64118412,39.92228648
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Energy|Supply|Synthetic Liquids,Mt CO2/yr,180.2130736,148.2086534,204.5873125,184.6719263,171.7578024,159.7981643,139.8681158,122.7365617,110.0567812,99.02387276
GCAM-USA v6.0,base IRA,United States,Emissions|CO2|Industrial Processes,Mt CO2/yr,90.59368766,58.3924642,58.28264692,58.93180414,66.81204119,69.84953027,72.77401611,73.57661331,75.85525135,78.23664611
GCAM-USA v6.0,base IRA,United States,Emissions|F-Gases,Mt CO2-equiv/yr,84.83593516,114.0127692,124.1385376,123.9667101,131.0515431,128.2528943,119.2073096,111.8898682,103.0133187,105.1123782
GCAM-USA v6.0,base IRA,United States,Emissions|N2O,kt N2O/yr,1534.932938,1519.482927,1521.467643,1552.551286,1669.559055,1733.829454,1784.637525,1882.95161,2019.029686,2143.53857
GCAM-USA v6.0,base IRA,United States,Emissions|N2O|AFOLU,kt N2O/yr,1183.921543,1211.87088,1297.137137,1347.492966,1457.351316,1527.103688,1578.607391,1674.287537,1803.335131,1921.172092
GCAM-USA v6.0,base IRA,United States,Emissions|N2O|Energy,kt N2O/yr,351.0113954,307.6120463,224.3305053,205.0583195,212.207739,206.7257655,206.0301335,208.6640738,215.6945558,222.3664782
GCAM-USA v6.0,base IRA,United States,Emissions|NH3,Mt NH3/yr,3.480605472,3.733756917,3.377030208,3.480609277,3.737156157,3.918932959,4.101685431,4.310042513,4.545595104,4.775240877
GCAM-USA v6.0,base IRA,United States,Emissions|NOx,Mt NOx/yr,20.6087275,14.83651553,12.05449169,9.882688147,9.266144765,8.136489936,6.883039992,6.546367955,6.455383674,6.429548926
GCAM-USA v6.0,base IRA,United States,Emissions|OC,Mt OC/yr,0.621130244,0.569351842,0.787253577,0.66891388,0.653816988,0.587961486,0.647764932,0.570846205,0.582372918,0.548981681
GCAM-USA v6.0,base IRA,United States,Emissions|Sulfur,Mt SO2/yr,14.80953855,8.485679906,4.3591191,2.528742426,2.412778987,2.16738789,1.956788349,1.93050394,1.912946287,1.922155601
GCAM-USA v6.0,base IRA,United States,Emissions|VOC,Mt VOC/yr,12.68121392,10.3046658,10.80191295,8.631613966,8.404024947,7.958349327,8.175301208,7.939917712,8.068210725,8.026752837
GCAM-USA v6.0,base IRA,United States,Final Energy,EJ/yr,49.05557824,47.73350702,47.85716954,44.41133512,44.87978271,41.44426418,38.80241367,38.07047302,38.43070893,39.01996217
GCAM-USA v6.0,base IRA,United States,Final Energy|Biomass Liquids,EJ/yr,0.580865862,0.615440254,0.525608386,0.487027239,0.462907299,0.426803082,0.431418196,0.45638034,0.482321516,0.491016457
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings,EJ/yr,20.12404848,20.24913649,19.6458715,19.03960001,19.44041371,19.14179439,18.98345798,19.02764302,19.16468084,19.45932333
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Biomass Liquids,EJ/yr,0.576328596,0.612495806,0.522663939,0.484011629,0.459490124,0.423146339,0.426355659,0.449130847,0.473609007,0.481305855
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Coal,EJ/yr,0.08803159,0.063166693,0.028129989,0.021713196,0.01822336,0.01406499,0.009906632,0.006416805,0,0
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial,EJ/yr,8.582404805,8.718529321,8.873924536,8.819878622,9.282483257,9.375225916,9.41883172,9.553794824,9.645522752,9.871460811
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Appliances|Electricity,EJ/yr,1.222790463,1.418843113,1.164706071,1.181676804,1.295014884,1.362653777,1.424481376,1.472328152,1.525199532,1.545975794
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Appliances|Gas,EJ/yr,0.692356641,0.913356621,0.643898287,0.63510468,0.643523687,0.630819508,0.611071176,0.614705442,0.613093609,0.635706435
