Round,Category,Tier,Variable,Unit,Definition
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Paper|Biomass,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from biomass in paper
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Paper|Coal,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from coal in paper
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Paper|Gas,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from gas in paper
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Paper|Oil,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from oil in paper
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Biomass,US$2018/EJ of products,fixed operation and maintenance (O&M) cost of CO2 capture from biomass in refineries
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Coal,US$2018/EJ of products,fixed operation and maintenance (O&M) cost of CO2 capture from coal in refineries
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Gas,US$2018/EJ of products,fixed operation and maintenance (O&M) cost of CO2 capture from gas in refineries
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Oil,US$2018/EJ of products,fixed operation and maintenance (O&M) cost of CO2 capture from oil in refineries
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|Non Mfg|Biomass,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from biomass in non-manufacturing sectors
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|Non Mfg|Coal,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from coal in non-manufacturing sectors
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|Non Mfg|Gas,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from gas in non-manufacturing sectors
2,Costs,3,Cost|Fixed O&M|CO2 Capture|Industry|Non Mfg|Oil,US$2018/Mt of products,fixed operation and maintenance (O&M) cost of CO2 capture from oil in non-manufacturing sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Biomass|New,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from biomass (new builds)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Biomass|Retrofit,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from biomass (retrofit)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Coal|New,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from coal (new builds)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Coal|Retrofit,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from coal (retrofit)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Gas|New,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from gas (new builds)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Gas|Retrofit,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from gas (retrofit)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Oil|New,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from oil (new builds)
2,Costs,3,Cost|Variable O&M|CO2 Capture|Electricity|Oil|Retrofit,US$2018/kW,variable operation and maintenance (O&M) cost of CO2 capture from electricity production from oil (retrofit)
2,Costs,3,Cost|Variable O&M|CO2 Capture|H2 Production|Chemical,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from hydrogen production via chemical processing
2,Costs,3,Cost|Variable O&M|CO2 Capture|H2 Production|Electrolysis,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from hydrogen production via electrolysis
2,Costs,3,Cost|Variable O&M|CO2 Capture|H2 Production|Thermal,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from hydrogen production via thermal processes
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Aluminum|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in aluminum
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Aluminum|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in aluminum
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Aluminum|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in aluminum
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Aluminum|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in aluminum
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Bulk chemicals|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in bulk chemicals
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Bulk chemicals|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in bulk chemicals
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Bulk chemicals|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in bulk chemicals
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Bulk chemicals|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in bulk chemicals
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Cement and lime|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in cement and lime
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Cement and lime|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in cement and lime
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Cement and lime|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in cement and lime
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Cement and lime|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in cement and lime
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Food products|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in food products
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Food products|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in food products
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Food products|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in food products
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Food products|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in food products
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Glass|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in glass
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Glass|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in glass
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Glass|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in glass
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Glass|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in glass
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Iron and steel|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in iron and steel
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Iron and steel|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in iron and steel
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Iron and steel|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in iron and steel
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Iron and steel|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in iron and steel
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Other|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in other energy intensive sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Other|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in other energy intensive sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Other|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in other energy intensive sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Other|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in other energy intensive sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Paper|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in paper
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Paper|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in paper
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Paper|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in paper
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Paper|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in paper
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Biomass,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in refineries
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Coal,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in refineries
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Gas,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in refineries
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|EInt Mfg|Refineries|Oil,US$2018/EJ of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in refineries
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|Non Mfg|Biomass,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from biomass in non-manufacturing sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|Non Mfg|Coal,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from coal in non-manufacturing sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|Non Mfg|Gas,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from gas in non-manufacturing sectors
2,Costs,3,Cost|Variable O&M|CO2 Capture|Industry|Non Mfg|Oil,US$2018/Mt of products,variable operation and maintenance (O&M) cost of CO2 capture from oil in non-manufacturing sectors
2,Emissions,3,Emissions|BC,Mt BC/yr,Total black carbon emissions
2,Emissions,2,Emissions|CH4,Mt CH4/yr,Total CH4 emissions
2,Emissions,3,Emissions|CH4|AFOLU,Mt CH4/yr,"CH4 emissions from agriculture, forestry and other land use (IPCC category 3)"
2,Emissions,3,Emissions|CH4|Energy,Mt CH4/yr,"CH4 emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)"
2,Emissions,3,Emissions|CH4|Other,Mt CH4/yr,CH4 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
2,Emissions,3,Emissions|CO,Mt CO/yr,Total CO emissions
2,Emissions,1,Emissions|CO2|Energy,Mt CO2/yr,"CO2 emissions from fossil fuel combustion on supply and demand side (IPCC category 1A, 1B)"
2,Emissions,1,Emissions|CO2|Energy|Coal,Mt CO2/yr,CO2 emissions from coal combustion.
2,Emissions,1,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,CO2 emissions from fuel combustion in  buildings.
2,Emissions,2,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,CO2 emissions from fuel combustion in commercial buildings.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Appliances,Mt CO2/yr,CO2 emissions from fuel combustion in commercial-appliances.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Appliances|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial-appliances."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Cooling,Mt CO2/yr,CO2 emissions from fuel combustion in commercial-cooling.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Cooling|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial-cooling."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Heating,Mt CO2/yr,CO2 emissions from fuel combustion in commercial-heating.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Heating|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial-heating."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial buildings."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Lighting,Mt CO2/yr,CO2 emissions from fuel combustion in commercial-lighting.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Lighting|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial-lighting."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Other,Mt CO2/yr,CO2 emissions from fuel combustion in commercial-other.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Commercial|Other|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in commercial-other."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in  buildings."
2,Emissions,2,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,CO2 emissions from fuel combustion in residential buildings.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Appliances,Mt CO2/yr,CO2 emissions from fuel combustion in residential-appliances.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Appliances|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential-appliances."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Cooling,Mt CO2/yr,CO2 emissions from fuel combustion in residential-cooling.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Cooling|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential-cooling."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Heating,Mt CO2/yr,CO2 emissions from fuel combustion in residential-heating.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Heating|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential-heating."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential buildings."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Lighting,Mt CO2/yr,CO2 emissions from fuel combustion in residential-lighting.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Lighting|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential-lighting."
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Other,Mt CO2/yr,CO2 emissions from fuel combustion in residential-other.
2,Emissions,3,Emissions|CO2|Energy|Demand|Buildings|Residential|Other|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in residential-other."
2,Emissions,1,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,CO2 emissions from fuel combustion in industry.
2,Emissions,2,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,CO2 emissions from fuel combustion in energy-intensive manufacturing.
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum,Mt CO2/yr,CO2 emissions from fuel combustion in aluminum (NAICS 3313).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in aluminum (NAICS 3313)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals,Mt CO2/yr,CO2 emissions from fuel combustion in bulk chemicals group (NAICS 325).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Ag chemicals,Mt CO2/yr,CO2 emissions from fuel combustion in bulk chemicals group-agricultural chemicals (NAICS 3253).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Ag chemicals|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in bulk chemicals group-agricultural chemicals (NAICS 3253)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in bulk chemicals group (NAICS 325)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Inorganic,Mt CO2/yr,CO2 emissions from fuel combustion in bulk chemicals group-inorganic (NAICS 325120-325180).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Inorganic|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in bulk chemicals group-inorganic (NAICS 325120-325180)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Organic,Mt CO2/yr,"CO2 emissions from fuel combustion in bulk chemicals group-organic (NAICS 325110, 32519)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Organic|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in bulk chemicals group-organic (NAICS 325110, 32519)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Resins,Mt CO2/yr,CO2 emissions from fuel combustion in bulk chemicals group-resins (NAICS 3252).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Resins|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in bulk chemicals group-resins (NAICS 3252)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime,Mt CO2/yr,"CO2 emissions from fuel combustion in cement and lime (NAICS 327310, 327410)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in cement and lime (NAICS 327310, 327410)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Food products,Mt CO2/yr,CO2 emissions from fuel combustion in food products (NAICS 311).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Food products|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in food products (NAICS 311)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Glass,Mt CO2/yr,"CO2 emissions from fuel combustion in glass and glass products (NAICS 3272, 327993)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Glass|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in glass and glass products (NAICS 3272, 327993)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in energy-intensive manufacturing."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Iron and steel,Mt CO2/yr,"CO2 emissions from fuel combustion in iron and steel (NAICS 331110, 3312, 324199)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Iron and steel|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in iron and steel (NAICS 331110, 3312, 324199)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Other,Mt CO2/yr,CO2 emissions from fuel combustion in other (NAICS user defined).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Other|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in other (NAICS user defined)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Paper,Mt CO2/yr,CO2 emissions from fuel combustion in paper and allied products (NAICS 322).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Paper|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in paper and allied products (NAICS 322)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Refineries|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in refineries (NAICS 324110)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in industry."
2,Emissions,2,Emissions|CO2|Energy|Demand|Industry|Non Mfg,Mt CO2/yr,CO2 emissions from fuel combustion in non-manufacturing.
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture,Mt CO2/yr,CO2 emissions from fuel combustion in agriculture (NAICS 111-115).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Crops,Mt CO2/yr,CO2 emissions from fuel combustion in agriculture-crops (NAICS 111).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Crops|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in agriculture-crops (NAICS 111)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Forestry,Mt CO2/yr,CO2 emissions from fuel combustion in agriculture-forestry (NAICS 115).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Forestry|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in agriculture-forestry (NAICS 115)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in agriculture (NAICS 111-115)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Other,Mt CO2/yr,"CO2 emissions from fuel combustion in agriculture-other (NAICS 112, 113, 114)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture|Other|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in agriculture-other (NAICS 112, 113, 114)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Coal mining,Mt CO2/yr,CO2 emissions from fuel combustion in coal mining (NAICS 2121).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Coal mining|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in coal mining (NAICS 2121)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Construction,Mt CO2/yr,CO2 emissions from fuel combustion in construction (NAICS 23).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Construction|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in construction (NAICS 23)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in non-manufacturing."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Oil-gas extraction,Mt CO2/yr,CO2 emissions from fuel combustion in oil and natural gas extraction (NAICS 211).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Oil-gas extraction|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in oil and natural gas extraction (NAICS 211)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other,Mt CO2/yr,CO2 emissions from fuel combustion in other (NAICS user defined).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other mining,Mt CO2/yr,CO2 emissions from fuel combustion in metal and other non-metallic mining (NAICS 2122-2123).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other mining|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in metal and other non-metallic mining (NAICS 2122-2123)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in other (NAICS user defined)."
2,Emissions,2,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg,Mt CO2/yr,CO2 emissions from fuel combustion in non-energy-intensive manufacturing.
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Balance of manufacturing,Mt CO2/yr,"CO2 emissions from fuel combustion in balance of manufacturing (NAICS NAICS codes not in other categories:  312-316, 323, 3254-3256, 3259, 3271, 327320, 327330, 327390, 327420, 3279 (except 327993), 3314, 3315, 337, 339)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Balance of manufacturing|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in balance of manufacturing (NAICS NAICS codes not in other categories:  312-316, 323, 3254-3256, 3259, 3271, 327320, 327330, 327390, 327420, 3279 (except 327993), 3314, 3315, 337, 339)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in non-energy-intensive manufacturing."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Metal durables,Mt CO2/yr,CO2 emissions from fuel combustion in metal-based durables industries (NAICS 332-336).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Metal durables|Appliances,Mt CO2/yr,CO2 emissions from fuel combustion in metal-based durables industries-electrical equipment and appliances (NAICS 335).
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Metal durables|Appliances|Indirect,Mt CO2/yr,"CO2 emissions from production of secondary energy (e.g., electricity) used in metal-based durables industries-electrical equipment and appliances (NAICS 335)."
2,Emissions,3,Emissions|CO2|Energy|Demand|Industry|NonEInt Mfg|Metal durables|Computer,Mt CO2/yr,CO2 emissions from fuel combustion in metal-based durables industries-computer and electronic products (NAICS 334).
