model,scenario,region,variable,unit,year,value,datasrc
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2035,76.19793032,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2040,95.37380014,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2045,116.8883888,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2050,141.3517344,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2055,161.9651735,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2060,176.7899277,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2065,193.8614368,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2070,206.2192392,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2075,220.7507961,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2080,228.2319722,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2085,231.8123453,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2090,231.5945734,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2095,229.384522,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Crops,Million t DM/yr,2100,219.7750572,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2010,113.5969685,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2015,132.2865743,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2020,111.7860256,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2025,117.8264669,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2030,120.9246875,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2035,124.7004985,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2040,138.1636622,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2045,180.4107349,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2050,227.2186555,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2055,272.8375345,emf37_usacanmex.csv
