model,scenario,region,variable,unit,year,value
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,1.4681844
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,3.20628528
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.102987
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,2.29089852
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,6.5810988
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,2.6557884
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.066900115
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.144493696
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,1.790014164
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0.000145074
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0.825883728
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,2.793263141
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.113199773
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.68130775
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,5.059467788
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.703267159
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.066258218
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.148706825
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,0.790000118
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,7.57E-05
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,1.616878777
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,4.074818107
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.139336201
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.657965564
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,4.472206634
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,3.318818051
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.039877672
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,0.140650627
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,1.56E-05
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,1.643675875
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,4.502442027
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.115842839
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,2.736343591
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,4.288057678
GCAM-CGS,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,4.357656162
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.081579353
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.155289276
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,2.762942808
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0.002727554
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0.005277515
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,1.624531614
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.102834267
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.826729614
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,5.841947805
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.315443489
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.081132499
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.164143613
