"model","scenario","region","variable","unit","year","value"
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1958",0.4311334872
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1958",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1958",0.0005928876
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1958",0.517012362
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1958",0.0006300108
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1958",0
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1958",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1958",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1958",2.3344231032
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1959",1.362327156
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1959",0.1686229884
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1959",0.5278298076
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1959",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1959",0.0006771636
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1959",0.5081563188
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1959",0.0005503572
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1959",0
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1959",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1959",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1959",2.5681637916
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1960",1.4510424852
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1960",0.1727528148
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1960",0.5686912332
