region,year,value,variable,unit,scenario,model
United States,2028,46.6558,Capacity|Electricity|Coal|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,52.1911,Capacity|Electricity|Coal|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,53.1302,Capacity|Electricity|Coal|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,202.02,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,194.9228,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,188.634,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,178.9446,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,172.7245,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,163.1012,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,90.4175,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,75.1989,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,64.9519,Capacity|Electricity|Coal|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,1.3234,Capacity|Electricity|Solar|CSP,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,31.4597,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,36.5203,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,41.5809,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,48.8185,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,56.0562,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,66.6833,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,77.3104,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,92.6434,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,107.9764,Capacity|Electricity|Solar|PV|Rooftop,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.3069,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.6138,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.9207,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,1.2276,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,1.2276,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,1.2276,Capacity|Electricity|Gas|CC|w/ CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,283.267,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,287.6011,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,287.2821,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,287.4631,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,287.2319,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,286.0482,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,285.2275,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,283.5534,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,281.129,Capacity|Electricity|Gas|CC|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,130.0898,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,130.9855,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,119.466,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,117.8596,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,116.0417,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,114.7321,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,113.968,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,113.4612,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,111.5548,Capacity|Electricity|Gas|CT|w/o CCS,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,2.9251,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,2.9251,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,2.9251,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,2.9251,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,2.9251,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,4.0866,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,4.1544,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,4.1544,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,4.1544,Capacity|Electricity|Geothermal,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,80.8246,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,80.8856,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,80.957,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,82.8613,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,83.0398,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,83.8844,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,83.9906,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,84.0969,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,84.17,Capacity|Electricity|Hydro,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,96.9468,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,95.8248,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
