"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",675.679587585824,1915.78440707074,1038.6848367658
"2",2030,"Difference",-731.1926314,124.078522897602,-362.047295404652
"3",2030,"No IRA",921.2616,1840.2439059285,1434.4716395947
"4",2035,"IRA",421.771,1567.65964072386,862.04790192987
"5",2035,"Difference",-1057.5040588,-225.3325860324,-536.790456875178
"6",2035,"No IRA",794.2564,1950.17072202514,1412.8260627957
