"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",2400.1,NA,NA,NA
"2",2030,"No IRA Min",979.599,59.185,NA,NA
"3",2030,"No IRA Median",1189.315,50.447,NA,NA
"4",2030,"No IRA Max",1379.59,42.519,NA,NA
"5",2030,"IRA Min",413.514,82.771,57.787,566.085
"6",2030,"IRA Median",754.656,68.557,36.547,434.66
"7",2030,"IRA Max",1232.67,48.641,10.65,146.92
"8",2035,"No IRA Min",775,67.71,NA,NA
"9",2035,"No IRA Median",1132.836,52.8,NA,NA
"10",2035,"No IRA Max",1430.05,40.417,NA,NA
"11",2035,"IRA Min",323.384,86.526,58.273,451.616
"12",2035,"IRA Median",544.287,77.322,51.954,588.549
"13",2035,"IRA Max",784.368,67.319,45.151,645.682
