"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",3732.083,NA,NA,NA
"2",2030,"No IRA Min",2791.61,25.2,NA,NA
"3",2030,"No IRA Median",3175,14.927,NA,NA
"4",2030,"No IRA Max",3289.568,11.857,NA,NA
"5",2030,"IRA Min",2745.92,26.424,1.637,45.69
"6",2030,"IRA Median",2952,20.902,7.024,223
"7",2030,"IRA Max",3248.604,12.955,1.245,40.964
"8",2035,"No IRA Min",2605.106,30.197,NA,NA
"9",2035,"No IRA Median",2952.203,20.897,NA,NA
"10",2035,"No IRA Max",3162.971,15.249,NA,NA
"11",2035,"IRA Min",2393,35.88,8.142,212.106
"12",2035,"IRA Median",2743.657,26.485,7.064,208.546
"13",2035,"IRA Max",2985.188,20.013,5.621,177.783
