"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1587.1,NA,NA,NA
"2",2030,"No IRA Min",1069.432,32.617,NA,NA
"3",2030,"No IRA Median",1183.855,25.408,NA,NA
"4",2030,"No IRA Max",1498.266,5.597,NA,NA
"5",2030,"IRA Min",911.216,42.586,14.794,158.216
"6",2030,"IRA Median",1043.209,34.269,11.88,140.646
"7",2030,"IRA Max",1314.646,17.167,12.256,183.62
"8",2035,"No IRA Min",1020.488,35.701,NA,NA
"9",2035,"No IRA Median",1150.272,27.524,NA,NA
"10",2035,"No IRA Max",1533.33,3.388,NA,NA
"11",2035,"IRA Min",688.092,56.645,32.572,332.396
"12",2035,"IRA Median",1026.616,35.315,10.75,123.656
"13",2035,"IRA Max",1222.267,22.987,20.287,311.063
