"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",22.56,NA,NA,NA
"2",2030,"No IRA Min",26.02,-15.29,NA,NA
"3",2030,"No IRA Median",29.7,-31.61,NA,NA
"4",2030,"No IRA Max",34.21,-51.62,NA,NA
"5",2030,"IRA Min",25.01,-10.82,-1.26,1.01
"6",2030,"IRA Median",26.78,-18.67,9.23,2.92
"7",2030,"IRA Max",29.68,-31.53,20.77,4.53
"8",2035,"No IRA Min",27.18,-20.45,NA,NA
"9",2035,"No IRA Median",29.77,-31.92,NA,NA
"10",2035,"No IRA Max",34.74,-53.93,NA,NA
"11",2035,"IRA Min",22.94,-1.67,5.29,4.24
"12",2035,"IRA Median",25.74,-14.09,15.39,4.03
"13",2035,"IRA Max",28.73,-27.33,26.77,6
