"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",570.726124913868,1646.3286,1083.15269754449
"2",2030,"Difference",-45.4365152380719,819.36068382,379.148878544528
"3",2030,"No IRA",546.372969649435,1159.39003133333,662.741652045801
"4",2035,"IRA",570.726124913868,2443.39892342,1351.35184701512
"5",2035,"Difference",-61.3200762782441,1599.25525998,575.113779579294
"6",2035,"No IRA",585.683659351015,1517.45307466667,781.726365728913
