"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",2267.8699893788,3734.73338695501,3049.79231392312
"2",2030,"Difference",135.027381910708,1429.5867594316,770.882630317975
"3",2030,"No IRA",1837.33779782309,2888.56912030556,2157.26626935303
"4",2035,"IRA",2443.98446645772,5270.7158,3352.96361285524
"5",2035,"Difference",559.8780628966,1925.500161298,1088.54693323852
"6",2035,"No IRA",1858.86661416088,3573.206,2332.8898173717
