"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",350.363998765499,1105.4157155986,826.235565824064
"2",2030,"Difference",-38.262190054172,506.6577896716,234.033514831209
"3",2030,"No IRA",315.670369564647,735.487478103,509.317098293306
"4",2035,"IRA",471.82048301164,2012.1794,1036.11924827991
"5",2035,"Difference",-38.262190054172,891.822041068,314.540860681038
"6",2035,"No IRA",510.082673065812,1217.923,656.738411175229
