"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",741.167,NA,NA,NA
"2",2021,"No IRA Min",737.087,0.55,NA,NA
"3",2021,"No IRA Median",737.087,0.55,NA,NA
"4",2021,"No IRA Max",737.087,0.55,NA,NA
"5",2021,"IRA Min",737.087,0.55,0,0
"6",2021,"IRA Median",737.327,0.518,-0.033,-0.24
"7",2021,"IRA Max",737.567,0.486,-0.065,-0.479
"8",2030,"No IRA Min",482.944,34.84,NA,NA
"9",2030,"No IRA Median",722.694,2.492,NA,NA
"10",2030,"No IRA Max",755.887,-1.986,NA,NA
"11",2030,"IRA Min",642.561,13.304,-33.051,-159.617
"12",2030,"IRA Median",716.954,3.267,0.794,5.74
"13",2030,"IRA Max",760.413,-2.597,-0.599,-4.526
"14",2035,"No IRA Min",64.304,91.324,NA,NA
"15",2035,"No IRA Median",715.444,3.471,NA,NA
"16",2035,"No IRA Max",755.887,-1.986,NA,NA
"17",2035,"IRA Min",39.272,94.701,38.929,25.033
"18",2035,"IRA Median",673.897,9.076,5.807,41.548
"19",2035,"IRA Max",755.887,-1.986,0,0
