"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1659,NA,NA,NA
"2",2030,"No IRA Min",664.077,59.971,NA,NA
"3",2030,"No IRA Median",783.06,52.799,NA,NA
"4",2030,"No IRA Max",945.769,42.992,NA,NA
"5",2030,"IRA Min",344.611,79.228,48.107,319.465
"6",2030,"IRA Median",455.184,72.563,41.871,327.877
"7",2030,"IRA Max",579.929,65.043,38.682,365.84
"8",2035,"No IRA Min",503.376,69.658,NA,NA
"9",2035,"No IRA Median",703.005,57.625,NA,NA
"10",2035,"No IRA Max",924.921,44.248,NA,NA
"11",2035,"IRA Min",211.399,87.257,58.004,291.977
"12",2035,"IRA Median",287.98,82.641,59.036,415.025
"13",2035,"IRA Max",508.636,69.341,45.008,416.284
