"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",381.229,NA,NA,NA
"2",2021,"No IRA Min",310.78,18.479,NA,NA
"3",2021,"No IRA Median",310.78,18.479,NA,NA
"4",2021,"No IRA Max",310.78,18.479,NA,NA
"5",2021,"IRA Min",305.714,19.808,1.63,5.066
"6",2021,"IRA Median",308.124,19.176,0.855,2.656
"7",2021,"IRA Max",310.535,18.544,0.079,0.245
"8",2030,"No IRA Min",245.055,35.72,NA,NA
"9",2030,"No IRA Median",287.338,24.629,NA,NA
"10",2030,"No IRA Max",362.59,4.889,NA,NA
"11",2030,"IRA Min",262.947,31.027,-7.301,-17.892
"12",2030,"IRA Median",284.223,25.446,1.084,3.115
"13",2030,"IRA Max",376.431,1.259,-3.817,-13.841
"14",2035,"No IRA Min",261.773,31.334,NA,NA
"15",2035,"No IRA Median",285.597,25.085,NA,NA
"16",2035,"No IRA Max",404.435,-6.087,NA,NA
"17",2035,"IRA Min",245.994,35.474,6.028,15.78
"18",2035,"IRA Median",288.111,24.426,-0.88,-2.514
"19",2035,"IRA Max",415.061,-8.874,-2.627,-10.626
