"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",761.888432173774,2403.69644073339,1328.56671131745
"2",2030,"Difference",-1133.34099724961,-23.8977430070677,-635.64255243027
"3",2030,"No IRA",1541.1228,2427.59418374046,1987.5533073445
"4",2035,"IRA",549.302716182023,1703.49025081742,1099.00491758729
"5",2035,"Difference",-1426.9330293764,-454.23423997,-900.522859700596
"6",2035,"No IRA",1261.5218,2561.77381052852,1915.80195080444
