"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1858.6,NA,NA,NA
"2",2030,"No IRA Min",1401.481,24.595,NA,NA
"3",2030,"No IRA Median",1559.07,16.116,NA,NA
"4",2030,"No IRA Max",1666.071,10.359,NA,NA
"5",2030,"IRA Min",1357.18,26.978,3.161,44.301
"6",2030,"IRA Median",1509.084,18.805,3.206,49.986
"7",2030,"IRA Max",1644.876,11.499,1.272,21.196
"8",2035,"No IRA Min",1234.004,33.606,NA,NA
"9",2035,"No IRA Median",1381.841,25.651,NA,NA
"10",2035,"No IRA Max",1593.199,14.28,NA,NA
"11",2035,"IRA Min",1141,38.61,7.537,93.004
"12",2035,"IRA Median",1335.853,28.126,3.328,45.989
"13",2035,"IRA Max",1574.93,15.263,1.147,18.269
