"","Year","Scenario","Minimum","Maximum","Median"
"1",2030,"IRA",642.560502040383,760.4133054,716.9540950145
"2",2030,"Difference",-47.7197949108609,159.616804235321,0
"3",2030,"No IRA",482.943697805062,755.886901375704,722.694001031217
"4",2035,"IRA",39.27157171,755.886901375704,673.8967229211
"5",2035,"Difference",-563.87109975,164.752287552585,-11.0563902227889
"6",2035,"No IRA",64.3043851582201,755.886901375704,715.44442084325
