"variable","year","unit","mean_NZ2050","mean_IRA","median_NZ2050","median_IRA","diff_median","diff_mean","pct_diff_median","pct_diff_mean"
"Final Energy|Transportation|Fossil",2030,"Quads",15.4574971263058,23.4661398748956,15.4574971263058,22.5030752702003,7.04557814389449,8.00864274858985,0.455803296376114,0.518107341903407
"Final Energy|Transportation|Fossil",2035,"Quads",10.0903943129326,19.6466441468109,10.0903943129326,19.8263237278599,9.73592941492734,9.55624983387828,0.964871055876285,0.947064062861278
"Final Energy|Transportation|Alternative Fuels",2030,"Quads",2.64042120525934,1.28637482400905,2.64042120525934,1.35931690313996,-1.28110430211937,-1.35404638125028,-0.485189370380604,-0.512814538283974
"Final Energy|Transportation|Alternative Fuels",2035,"Quads",3.48732542989942,1.28089351494186,3.48732542989942,1.30128958700228,-2.18603584289714,-2.20643191495756,-0.626851691027926,-0.632700319861229
"Final Energy|Transportation|Electricity",2030,"Quads",0.992838177446234,0.829525542059917,0.992838177446234,0.952705635061043,-0.0401325423851909,-0.163312635386317,-0.0404220378475165,-0.164490688509166
"Final Energy|Transportation|Electricity",2035,"Quads",2.247130977917,1.60585360630316,2.247130977917,1.56989708831649,-0.677233889600513,-0.641277371613842,-0.301377132110155,-0.285376054140058
