,Units,scenario,region,Variable,2020,2025,2030,2035,2040,2045,2050
1,GW/yr,IRA,USA,Capacity Additions|Electricity|Bioenergy,0.11200473,0.381190162,0.14948059,0.37946607,0.355004095,0.454905851,0.39967315
2,GW/yr,IRA,USA,Capacity Additions|Electricity|Coal,0,0,0,0,0,0,0
3,GW/yr,IRA,USA,Capacity Additions|Electricity|Coal CCS,0,0,4.486935569,1.50621512,0.55492136,0,0
4,GW/yr,IRA,USA,Capacity Additions|Electricity|Gas,10.62413284,0,0,0,1.077204624,2.560896093,7.56165923
5,GW/yr,IRA,USA,Capacity Additions|Electricity|Gas CCS,0,1.284246576,3.186834097,2.037354137,1.1891172,1.260464232,2.378234401
6,GW/yr,IRA,USA,Capacity Additions|Electricity|Geothermal,0.484098597,0.533176194,0.411058966,0.369615678,0.225108589,0.042140904,0.261678576
7,GW/yr,IRA,USA,Capacity Additions|Electricity|Hydro,0.140057144,0.140073834,0.140057144,0.140057144,0.140073834,0.140057144,0.140073834
8,GW/yr,IRA,USA,Capacity Additions|Electricity|Nuclear,0,0,0,0,0,0,0
9,GW/yr,IRA,USA,Capacity Additions|Electricity|Oil,0.327049773,0.002348561,0.004341846,0.079808965,0.111427403,0.413978341,0.780976311
10,GW/yr,IRA,USA,Capacity Additions|Electricity|Solar,24.08188287,37.16650235,24.3419099,20.66211025,11.72750023,15.61737012,1.877773231
11,GW/yr,IRA,USA,Capacity Additions|Electricity|Wind,20.68429371,39.33953722,26.9725552,24.73237714,13.2703834,13.76208645,5.52941087
12,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Bioenergy,0.112625049,0.337773175,0.082452118,0.304381068,0.229544848,0.347400267,0.29471374
13,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Coal,0,0,0,0,0,0,0
14,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Coal CCS,0,0,4.486935569,1.50621512,0.55492136,0,0
15,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Gas,10.62429111,0,0,0,0.726439299,2.016901507,5.711870663
16,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Gas CCS,0,1.284246576,3.186834097,2.037354137,1.1891172,1.260464232,2.378234401
17,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Geothermal,0.484899797,0.577458566,0.448284853,0.395650826,0.197908986,0.033094453,0.199249676
18,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Hydro,0.140057144,0.140073834,0.140057144,0.140057144,0.140073834,0.140057144,0.140073834
19,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Nuclear,0,0,0,0,0,0,0
20,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Oil,0.328541084,0.001847517,0,0.06057376,0.045303317,0.353315512,0.574176052
21,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Solar,24.12179629,42.58534957,28.2852346,23.8749507,10.80088898,17.59323664,5.7677457
22,GW/yr,IRA_AdvancedTech,USA,Capacity Additions|Electricity|Wind,20.71818011,45.36647569,32.30832318,29.82151395,12.63282557,15.53349139,5.824382214
23,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Bioenergy,0.11200473,0.314158996,0.157832727,0.277471313,0.314689096,0.274526307,0.273126134
24,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Coal,0,0,0,0,0,0,0
25,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Coal CCS,0,0,4.486935569,1.50621512,0.55492136,0,0
26,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Gas,10.62413284,0,0,0,2.566653006,4.524994827,10.21406461
27,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Gas CCS,0,1.284246576,3.186834097,2.037354137,1.1891172,1.260464232,2.378234401
28,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Geothermal,0.484098597,0.495017335,0.405697193,0.32036121,0.255578246,0.005569649,0.191557797
29,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Hydro,0.140057144,0.140073834,0.140057144,0.140057144,0.140073834,0.140057144,0.140073834
30,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Nuclear,0,0,0,0,0,0,0
31,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Oil,0.327049773,0.004265534,0.036729213,0.079354245,0.211448481,0.418044722,0.788787251
32,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Solar,24.08188287,35.38265971,24.44679546,18.37905115,14.66295398,14.76414217,1.441312546
33,GW/yr,IRA_HighEnergySupply,USA,Capacity Additions|Electricity|Wind,20.68429371,37.38241737,26.94685583,21.79027746,15.66629876,11.49637091,3.8605125
34,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Bioenergy,0.11200473,0.54066966,0.207412486,0.47507953,0.457564949,0.517162362,0.469500325
35,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Coal,0,0,0,0,0,0,0
36,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Coal CCS,0,0,4.486935569,1.50621512,0.55492136,0,0
37,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Gas,10.62413284,0,0,0,1.403088162,2.981597644,8.24466073
38,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Gas CCS,0,1.284246576,3.186834097,2.037354137,1.1891172,1.260464232,2.378234401
39,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Geothermal,0.484098597,0.605697898,0.457792153,0.412213203,0.260155096,0.060080895,0.295257202
40,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Hydro,0.140057144,0.140073834,0.140057144,0.140057144,0.140073834,0.140057144,0.140073834
41,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Nuclear,0,0,0,0,0,0,0
42,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Oil,0.327049773,0.023970256,0.00717938,0.100773952,0.145179635,0.45345195,0.878840987
43,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Solar,24.08188287,40.75236863,26.12608368,22.71065204,13.70184124,17.56679868,2.223282669
44,GW/yr,IRA_HighGrowth,USA,Capacity Additions|Electricity|Wind,20.68429371,43.30007464,29.38081001,27.60355903,15.65197703,16.28449025,7.886571861
