scenario,year,Reference Building Emissions,Total Building Emissions,Power Supply Decarbonization,Other,Water Heating,HVAC/Env
IRA-Low,2005,2330.0,2330.0,0.0,0.0,0.0,0.0
IRA-Low,2006,2311.8,2311.8,0.0,0.0,0.0,0.0
IRA-Low,2007,2293.6,2293.6,0.0,0.0,0.0,0.0
IRA-Low,2008,2275.4,2275.4,0.0,0.0,0.0,0.0
IRA-Low,2009,2257.2,2257.2,0.0,0.0,0.0,0.0
IRA-Low,2010,2239.0,2239.0,0.0,0.0,0.0,0.0
IRA-Low,2011,2180.2985544,2180.2985544,0.0,0.0,0.0,0.0
IRA-Low,2012,2121.5971088,2121.5971088,0.0,0.0,0.0,0.0
IRA-Low,2013,2062.8956632,2062.8956632,0.0,0.0,0.0,0.0
IRA-Low,2014,2004.1942175999998,2004.1942175999998,0.0,0.0,0.0,0.0
IRA-Low,2015,1945.4927719999998,1945.4927719999998,0.0,0.0,0.0,0.0
IRA-Low,2016,1878.75541,1878.75541,0.0,0.0,0.0,0.0
IRA-Low,2017,1812.018048,1812.018048,0.0,0.0,0.0,0.0
IRA-Low,2018,1745.280686,1745.280686,0.0,0.0,0.0,0.0
IRA-Low,2019,1678.5433240000002,1678.5433240000002,0.0,0.0,0.0,0.0
IRA-Low,2020,1611.8059620000001,1611.8059620000001,0.0,0.0,0.0,0.0
IRA-Low,2021,1671.63997,1671.63997,0.0,0.0,0.0,0.0
IRA-Low,2022,1703.8429130000002,1703.8429130000002,0.0,0.0,0.0,0.0
IRA-Low,2023,1613.537004188718,1600.1280393559505,12.520777352987269,0.03659994859013056,0.23975311535159916,0.6118344158383893
IRA-Low,2024,1526.2502201837979,1499.0186942119221,25.35061077171904,0.07987458808806379,0.506110571399607,1.2949300406689326
IRA-Low,2025,1437.9230377535507,1396.3648023321775,38.57538118527317,0.12961347623373576,0.8010259472324837,2.0522148126336814
IRA-Low,2026,1405.8811786366157,1364.624337987007,37.176026125057085,0.1793822212364419,1.1066162220570352,2.794816081258058
IRA-Low,2027,1376.581544561183,1335.666931251978,35.684802021012416,0.23178215440357616,1.429423261483732,3.568605872305212
IRA-Low,2028,1347.336168240246,1306.5346103029149,34.38767255874253,0.2868446857748311,1.7695444485789882,4.3574962442347855
IRA-Low,2029,1319.0660025336147,1278.5289320007842,32.915923258996116,0.3442795150592334,2.126369131614065,5.150498627161078
IRA-Low,2030,1289.06707593505,1248.4902288795156,31.70651664886135,0.4048877976212981,2.504481160348326,5.960961448703489
IRA-Low,2031,1284.4376126866978,1222.8469861178246,51.362702365540095,0.470340515708231,2.9092923768526435,6.848291310772157
IRA-Low,2032,1282.0475539604438,1198.538015848691,71.7761913175054,0.5451680603117447,3.3603200857454314,7.827858648190137
IRA-Low,2033,1279.3862712510481,1173.8086422051706,92.13861724810666,0.6289572949871062,3.879232906503378,8.930821596280353
IRA-Low,2034,1276.4493488206303,1148.0913563687502,113.13751557704232,0.7195944936244283,4.438304321992855,10.062578059220543
IRA-Low,2035,1273.6802016167499,1122.1890044106717,134.26638106814897,0.8493462783901571,5.043718467716765,11.331751391822209
IRA-Low,2036,1274.8947729515019,1094.370409314059,161.03889688952128,0.9990405082334816,5.8409385894599914,12.645487650228006
IRA-Low,2037,1276.4255604388982,1066.3468514891115,188.13844011776845,1.1640139294724252,6.696005348454128,14.080249554091683
IRA-Low,2038,1278.173919264632,1037.5293667628828,216.0214726800069,1.3449113843594867,7.607758853591612,15.67040958379137
IRA-Low,2039,1279.7109916654485,1008.2771897659422,243.96496770406353,1.5419233965612702,8.572907152315842,17.354003646565655
