scenario,year,Reference Building Emissions,Total Building Emissions,Power Supply Decarbonization,Other,Water Heating,HVAC/Env
IRA-Low,2040,1281.714859212979,978.3646705930057,272.8686148254044,1.7565451252038766,9.594931388740196,19.130097280624774
IRA-Low,2041,1283.7502822243184,954.8334912149893,295.34919069919056,1.9802582684603438,10.649881854518624,20.93746018715961
IRA-Low,2042,1285.6216957686418,930.6011528508432,318.221458095387,2.2260614934633094,11.761778882262236,22.81124444668612
IRA-Low,2043,1287.6324143282368,906.046536762994,341.57158164843503,2.4946099851448453,12.93038968320895,24.58929624845392
IRA-Low,2044,1289.8989386076853,880.903261383311,364.984198046779,2.786946982333038,14.155653809892154,27.06887838537012
IRA-Low,2045,1292.8219715169919,855.3312613495323,389.11815060676923,3.103189605272945,15.43846858456503,29.83090137085246
IRA-Low,2046,1308.4348118524238,832.9444369752166,422.4394444405132,3.428162910751727,16.753170010755497,32.86959751518664
IRA-Low,2047,1323.2711946417628,809.3219682668997,456.138779102074,3.774302059507269,18.121133225452937,35.91501198782891
IRA-Low,2048,1338.3924540314226,784.9453966328432,490.5296396303412,4.14196258221234,19.547135479415715,39.228319706610186
IRA-Low,2049,1353.7730387776041,759.9871905338039,525.4050286031437,4.529338321238837,21.02332957517874,42.828151744238994
IRA-Low,2050,1368.942930467323,733.8034253720879,561.0549104562247,4.940867717812631,22.560969115861127,46.582757805336776
IRA-Central,2005,2330.0,2330.0,0.0,0.0,0.0,0.0
IRA-Central,2006,2311.8,2311.8,0.0,0.0,0.0,0.0
IRA-Central,2007,2293.6,2293.6,0.0,0.0,0.0,0.0
IRA-Central,2008,2275.4,2275.4,0.0,0.0,0.0,0.0
IRA-Central,2009,2257.2,2257.2,0.0,0.0,0.0,0.0
IRA-Central,2010,2239.0,2239.0,0.0,0.0,0.0,0.0
IRA-Central,2011,2180.2985544,2180.2985544,0.0,0.0,0.0,0.0
IRA-Central,2012,2121.5971088,2121.5971088,0.0,0.0,0.0,0.0
IRA-Central,2013,2062.8956632,2062.8956632,0.0,0.0,0.0,0.0
IRA-Central,2014,2004.1942175999998,2004.1942175999998,0.0,0.0,0.0,0.0
IRA-Central,2015,1945.4927719999998,1945.4927719999998,0.0,0.0,0.0,0.0
IRA-Central,2016,1878.75541,1878.75541,0.0,0.0,0.0,0.0
IRA-Central,2017,1812.018048,1812.018048,0.0,0.0,0.0,0.0
IRA-Central,2018,1745.280686,1745.280686,0.0,0.0,0.0,0.0
IRA-Central,2019,1678.5433240000002,1678.5433240000002,0.0,0.0,0.0,0.0
IRA-Central,2020,1611.8059620000001,1611.8059620000001,0.0,0.0,0.0,0.0
IRA-Central,2021,1671.63997,1671.63997,0.0,0.0,0.0,0.0
IRA-Central,2022,1703.8429130000002,1703.8429130000002,0.0,0.0,0.0,0.0
IRA-Central,2023,1613.537004188718,1588.186315652801,12.423121460749035,3.7280883831065026,0.512009566641514,8.68746912541983
IRA-Central,2024,1526.2502201837979,1477.2296183902013,24.966853486640282,6.707401359907548,1.1030715373417832,16.243275409706918
IRA-Central,2025,1437.9230377535507,1365.2587601885075,37.656680991084215,9.340204326309607,1.751808785246991,23.915583462402466
IRA-Central,2026,1405.8811786366157,1324.109722326009,35.99091898525231,12.05905989434843,2.432559539723718,31.28891789128237
IRA-Central,2027,1376.581544561183,1286.314319133464,34.26581320920739,14.529127022056846,3.1533360773282078,38.31894911912636
IRA-Central,2028,1347.336168240246,1249.515290338335,32.78125496160513,15.967855964808052,3.915426352013696,45.15634062348413
IRA-Central,2029,1319.0660025336147,1215.897514389063,31.22800884437895,15.825996465115917,4.72109851657594,51.39338431848081
IRA-Central,2030,1289.06707593505,1174.6227905025073,29.68419915784522,18.958387875169272,6.444576885460426,59.35712151406785
IRA-Central,2031,1284.4376126866978,1139.8463394731032,47.624336066830615,21.501633677411007,8.260315745258104,67.20498772409495
IRA-Central,2032,1282.0475539604438,1107.5739057877372,65.99949573375326,23.82096514015779,10.186510391150595,74.46667690764487
IRA-Central,2033,1279.3862712510481,1074.9061173191767,83.9467758303571,26.275408263275562,12.167363692833888,82.09060614540478
IRA-Central,2034,1276.4493488206303,1044.4110419480576,102.63516813671153,27.16805167789665,14.113177804169023,88.12190925379558
IRA-Central,2035,1273.6802016167499,1012.0442282230886,120.7776127997613,28.957969557555256,16.14003062437407,95.76036041197065
IRA-Central,2036,1274.8947729515019,979.2862850817392,143.90768075340864,30.408545078654406,18.59221398264537,102.70004805505427
IRA-Central,2037,1276.4255604388982,946.122292414243,166.79234372971902,32.09736915455528,21.18252712865227,110.23102801172858
IRA-Central,2038,1278.173919264632,912.6733307827018,190.0085289963737,33.76524496604683,23.89760218244612,117.82921233706364
IRA-Central,2039,1279.7109916654485,880.0007296703052,213.2625553152466,35.31916542182603,26.674304715788324,124.45423654228242
IRA-Central,2040,1281.714859212979,847.480764258855,237.30027256426092,36.501272128018854,29.516721491086024,130.91582877075825
IRA-Central,2041,1283.7502822243184,820.5481740931239,255.44562735484232,37.94813793924053,32.46317588157458,137.34516695553717
IRA-Central,2042,1285.6216957686418,793.4320325065829,273.88648577790195,39.23850632837262,35.48254238513066,143.58212877065364
IRA-Central,2043,1287.6324143282368,766.6267359882934,292.7496124992344,40.35994319471483,38.56621287260258,149.3299097733916
IRA-Central,2044,1289.8989386076853,739.2213159748201,311.3056766403958,41.56297592917346,41.78967805233585,156.01929201096007
IRA-Central,2045,1292.8219715169919,712.9137084977307,331.22606002688593,42.519832156716255,45.10099930516344,161.0613715304956
IRA-Central,2046,1308.4348118524238,689.0206255119842,359.00067130560217,43.72311030650466,48.53869221538006,168.1517125129526
IRA-Central,2047,1323.2711946417628,664.5253349974868,387.1652116336337,44.84804978015155,52.045856316914474,174.68674191357627
IRA-Central,2048,1338.3924540314226,638.8746050739767,415.6568714988315,46.097845884459744,55.69083611537948,182.07229545877522
IRA-Central,2049,1353.7730387776041,612.7919829152352,444.70789252919815,47.2519103294619,59.366412391840655,189.65484061186828
IRA-Central,2050,1368.942930467323,585.8503947171562,474.69110622417213,48.438806853807726,63.0847205282771,196.87790214391
IRA-High,2005,2330.0,2330.0,0.0,0.0,0.0,0.0
IRA-High,2006,2311.8,2311.8,0.0,0.0,0.0,0.0
IRA-High,2007,2293.6,2293.6,0.0,0.0,0.0,0.0
IRA-High,2008,2275.4,2275.4,0.0,0.0,0.0,0.0
IRA-High,2009,2257.2,2257.2,0.0,0.0,0.0,0.0
IRA-High,2010,2239.0,2239.0,0.0,0.0,0.0,0.0
IRA-High,2011,2180.2985544,2180.2985544,0.0,0.0,0.0,0.0
IRA-High,2012,2121.5971088,2121.5971088,0.0,0.0,0.0,0.0
IRA-High,2013,2062.8956632,2062.8956632,0.0,0.0,0.0,0.0
IRA-High,2014,2004.1942175999998,2004.1942175999998,0.0,0.0,0.0,0.0
IRA-High,2015,1945.4927719999998,1945.4927719999998,0.0,0.0,0.0,0.0
IRA-High,2016,1878.75541,1878.75541,0.0,0.0,0.0,0.0
IRA-High,2017,1812.018048,1812.018048,0.0,0.0,0.0,0.0
IRA-High,2018,1745.280686,1745.280686,0.0,0.0,0.0,0.0
IRA-High,2019,1678.5433240000002,1678.5433240000002,0.0,0.0,0.0,0.0
IRA-High,2020,1611.8059620000001,1611.8059620000001,0.0,0.0,0.0,0.0
IRA-High,2021,1671.63997,1671.63997,0.0,0.0,0.0,0.0
IRA-High,2022,1703.8429130000002,1703.8429130000002,0.0,0.0,0.0,0.0
IRA-High,2023,1613.537004188718,1584.988183897456,12.41302057229867,3.917311421797769,0.994158234580618,11.224330062584661
IRA-High,2024,1526.2502201837979,1470.2924734334617,24.923379170896546,7.09745951624836,2.2049836467723716,21.731924416418845
IRA-High,2025,1437.9230377535507,1353.9337892695944,37.54483208695238,9.949948950119449,3.6790777529829493,32.81538969390152
IRA-High,2026,1405.8811786366157,1307.9366766135734,35.84512312013951,12.930039391392626,5.327314263675876,43.84202524783441
IRA-High,2027,1376.581544561183,1264.4516141770996,34.0744754026945,15.686621367816894,7.179329483089474,55.189504130482426
IRA-High,2028,1347.336168240246,1221.457541836863,32.54599555203031,17.272590277165833,9.239037051486699,66.82100352270021
IRA-High,2029,1319.0660025336147,1181.3739355645926,30.967366593806105,16.969754971198142,11.505705720212438,78.24923968380544
IRA-High,2030,1289.06707593505,1132.4593004957346,29.32295198190091,20.286369385382187,16.15160048722733,90.84685358480507
IRA-High,2031,1284.4376126866978,1088.6940088586632,46.89145284504526,22.78778008694087,20.842367443614826,105.22200345243361
IRA-High,2032,1282.0475539604438,1047.8325916006215,64.7647768281791,24.97714247807871,24.86090441326814,119.61213864029634
IRA-High,2033,1279.3862712510481,1005.7898698647601,82.05784690032459,27.29588653634547,29.33588344274913,134.90678450686877
IRA-High,2034,1276.4493488206303,966.6130192788723,100.0704982602631,28.152611048838402,33.14723234256915,148.46598789008735
IRA-High,2035,1273.6802016167499,926.796260603269,117.66871387891986,29.997982007794768,34.47477426776024,164.74247085900598
IRA-High,2036,1274.8947729515019,887.1358509366971,140.18615553306262,31.558236901143754,38.22135467959019,177.79317490100823
IRA-High,2037,1276.4255604388982,849.0587248450827,162.5339780613396,33.46739609215594,42.20959387859613,189.15586756172385
IRA-High,2038,1278.173919264632,811.2333430058535,185.25514603018993,35.38390142437542,46.3450874019771,199.95644140223612
IRA-High,2039,1279.7109916654485,774.9153570746244,207.99413396439022,37.16672398496051,50.50755877880788,209.1272178626656
IRA-High,2040,1281.714859212979,741.3021242931335,231.78166722871302,38.6124510330865,54.69485709212967,215.32375956591642
IRA-High,2041,1283.7502822243184,715.1762288743611,249.62712401081293,40.341807450835056,58.83084662868078,219.7742752596285
IRA-High,2042,1285.6216957686418,689.0648778762966,267.77093778071674,41.93915786502984,62.9538048734625,223.89291737313619
IRA-High,2043,1287.6324143282368,663.596494034744,286.37368668980747,43.39750086531329,66.97242449588735,227.29230824248475
IRA-High,2044,1289.8989386076853,635.9066343256779,304.5964600025858,44.968910707818424,71.10522794279503,233.3217056288082
IRA-High,2045,1292.8219715169919,609.7396493206473,324.4141431434154,46.35542587536192,74.7419567164588,237.57079646110844
IRA-High,2046,1308.4348118524238,585.4578983373176,352.27100175444093,48.00783626859882,78.13547954044101,244.5625959516253
IRA-High,2047,1323.2711946417628,560.126784277774,380.618240722842,49.605650926624484,81.52274981629922,251.39776889822303
IRA-High,2048,1338.3924540314226,533.3830586679899,409.3818566715051,51.35164193804471,85.00685611224625,259.2690406416367
IRA-High,2049,1353.7730387776041,506.33009374450455,438.8650476286449,53.02156226856467,88.4982232976393,267.0581118382507
IRA-High,2050,1368.942930467323,478.5396167847639,469.41068370567257,54.76527738819302,92.06213238925122,274.1652201994424
