"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",1587.1,NA,NA,NA
2030,"No IRA Min",1069.432,32.617,NA,NA
2030,"No IRA Median",1264.991,20.295,NA,NA
2030,"No IRA Max",1498.266,5.597,NA,NA
2030,"IRA Min",911.216,42.586,14.794,158.216
2030,"IRA Median",1146.979,27.731,9.329,118.012
2030,"IRA Max",1314.646,17.167,12.256,183.62
2035,"No IRA Min",1020.488,35.701,NA,NA
2035,"No IRA Median",1239.156,21.923,NA,NA
2035,"No IRA Max",1533.33,3.388,NA,NA
2035,"IRA Min",688.092,56.645,32.572,332.396
2035,"IRA Median",1044.224,34.206,15.731,194.932
2035,"IRA Max",1223.268,22.924,20.221,310.062
