"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",6132.18327,NA,NA,NA
2030,"No IRA Min",4156,32.226,NA,NA
2030,"No IRA Median",4267.338,30.411,NA,NA
2030,"No IRA Max",4515.632,26.362,NA,NA
2030,"IRA Min",3230.405,47.32,22.271,925.595
2030,"IRA Median",3660.97,40.299,14.21,606.368
2030,"IRA Max",3978.59,35.12,11.893,537.042
2035,"No IRA Min",3710,39.5,NA,NA
2035,"No IRA Median",4148.179,32.354,NA,NA
2035,"No IRA Max",4358.333,28.927,NA,NA
2035,"IRA Min",2763,54.943,25.526,947
2035,"IRA Median",3265.139,46.754,21.287,883.04
2035,"IRA Max",3572.576,41.741,18.029,785.758
