"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",42.431,NA,NA,NA
2030,"No IRA Min",29.404,30.7,NA,NA
2030,"No IRA Median",33.783,20.381,NA,NA
2030,"No IRA Max",37.906,10.663,NA,NA
2030,"IRA Min",28.951,31.769,1.543,0.454
2030,"IRA Median",33.656,20.679,0.375,0.127
2030,"IRA Max",37.873,10.742,0.087,0.033
2035,"No IRA Min",26.186,38.284,NA,NA
2035,"No IRA Median",30.744,27.542,NA,NA
2035,"No IRA Max",37.433,11.779,NA,NA
2035,"IRA Min",25.342,40.273,3.223,0.844
2035,"IRA Median",30.512,28.089,0.755,0.232
2035,"IRA Max",37.401,11.855,0.086,0.032
