"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",586,NA,NA,NA
2030,"No IRA Min",436.606,25.494,NA,NA
2030,"No IRA Median",557.617,4.844,NA,NA
2030,"No IRA Max",638,-8.874,NA,NA
2030,"IRA Min",379.756,35.195,13.021,56.851
2030,"IRA Median",525.176,10.38,5.818,32.441
2030,"IRA Max",590,-0.683,7.524,48
2035,"No IRA Min",382.16,34.785,NA,NA
2035,"No IRA Median",550.902,5.989,NA,NA
2035,"No IRA Max",630,-7.509,NA,NA
2035,"IRA Min",324.684,44.593,15.04,57.476
2035,"IRA Median",511.954,12.636,7.07,38.948
2035,"IRA Max",561.914,4.11,10.807,68.086
