scenario,model,variable,unit,year,value,region
Reference,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,34.01585402,United States
IRA,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,22.32,United States
Reference,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,22.29,United States
IRA,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,399.4769554,United States
Reference,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,399.7640568,United States
IRA,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2025,NA,United States
IRA,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2025,10.12312,United States
Reference,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2025,68.7182,United States
IRA,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2025,0,United States
Reference,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2025,0,United States
IRA,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
