scenario,model,variable,unit,year,value,region
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,1111.22,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,1134.03,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,702.8142657,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,827.1127708,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,863.9506377,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,912.4192587,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,610,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,847,United States
IRA,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,288.726267,United States
Reference,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,355.00466,United States
IRA,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,26.65,United States
Reference,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,32.76418973,United States
IRA,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,29.28,United States
Reference,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,29.53,United States
IRA,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,373.269325,United States
Reference,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,385.0648807,United States
IRA,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2035,NA,United States
IRA,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2035,71.9144,United States
Reference,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2035,72.4701,United States
IRA,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2035,0,United States
Reference,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2035,0,United States
IRA,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2035,NA,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1195.014895,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1234.004451,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1282.967561,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1306.293237,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1304.67,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1322.3,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1346.04204,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1385.129275,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1325.663035,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1378.553169,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1141,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1348,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,512.601,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,547.564,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,271.21,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,276.65,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,450.703497,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,475.5011406,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,492,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,626,United States
IRA,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,242.487,United States
Reference,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1212.21,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,698.0868499,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1122.932043,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,581.149594,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,772.011396,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,704.1,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1440.31,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,460.02851,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1321.967015,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,581.5898971,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1231.511088,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,548,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,742,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,773.541269,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,851.49551,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,1130.2,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,1188.41,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,810.5524801,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,890.0888432,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,653,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,875,United States
IRA,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,307.682031,United States
Reference,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,373.61139,United States
IRA,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,29.24,United States
Reference,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,29.78,United States
IRA,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2040,NA,United States
IRA,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2040,73.4377,United States
Reference,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2040,73.8535,United States
IRA,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2040,0,United States
Reference,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2040,0,United States
IRA,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2040,NA,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1091.650744,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1122.167789,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1238.49,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1254.73,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1155.416669,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1223.08445,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,853,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1141,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,513.65,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,544.832,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,275.28,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,283.31,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,425.5136376,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,454.5051114,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,485.5,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2045,632.5,United States
IRA,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,290.312,United States
Reference,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,1222.54,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,697.9926806,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,1159.149896,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,44.96729994,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,663.4110763,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,561.29,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,1473.6,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,399.1415312,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,1135.103886,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,661,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,737.5,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,794.322404,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,866.28559,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,1141.13,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,1227.2,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,736.9981268,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,855.1040537,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,684.5,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2045,902.5,United States
IRA,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,329.333596,United States
Reference,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,391.79891,United States
IRA,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,30.01,United States
Reference,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,31.41,United States
IRA,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2045,NA,United States
IRA,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2045,74.2917,United States
Reference,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2045,74.9434,United States
IRA,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2045,0,United States
Reference,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2045,0,United States
IRA,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2045,NA,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,1062.508582,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,1063.247165,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2045,NA,United States
