"","scenario","model","variable","unit","year","value"
"55","IRA","EPS-EI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",322.448421
"56","Reference","EPS-EI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",381.55262
"57","IRA","GCAM-CGS","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",30.9565667802826
"58","Reference","GCAM-CGS","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",34.0158540176269
"59","IRA","Haiku-RFF","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"60","Reference","Haiku-RFF","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"61","IRA","IPM-NRDC","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"62","Reference","IPM-NRDC","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"63","IRA","MARKAL-NETL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",22.32
"64","Reference","MARKAL-NETL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",22.29
"65","IRA","NEMS-RHG","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",399.476955431099
"66","Reference","NEMS-RHG","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",399.764056821303
"67","IRA","ReEDS-NREL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"68","Reference","ReEDS-NREL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"69","IRA","REGEN-EPRI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"70","Reference","REGEN-EPRI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"71","IRA","RIO-REPEAT","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"72","Reference","RIO-REPEAT","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2025",NA
"73","IRA","EPS-EI","Emissions|CO2|Other","Mt-CO2e/yr","2025",10.12312
"74","Reference","EPS-EI","Emissions|CO2|Other","Mt-CO2e/yr","2025",68.7182
"75","IRA","GCAM-CGS","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"76","Reference","GCAM-CGS","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"77","IRA","Haiku-RFF","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"78","Reference","Haiku-RFF","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"79","IRA","IPM-NRDC","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"80","Reference","IPM-NRDC","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"81","IRA","MARKAL-NETL","Emissions|CO2|Other","Mt-CO2e/yr","2025",0
"82","Reference","MARKAL-NETL","Emissions|CO2|Other","Mt-CO2e/yr","2025",0
"83","IRA","NEMS-RHG","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"84","Reference","NEMS-RHG","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"85","IRA","ReEDS-NREL","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"86","Reference","ReEDS-NREL","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"87","IRA","REGEN-EPRI","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"88","Reference","REGEN-EPRI","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"89","IRA","RIO-REPEAT","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
"90","Reference","RIO-REPEAT","Emissions|CO2|Other","Mt-CO2e/yr","2025",NA
