variable,stat,2025,2030,2035
Buildings Direct,max,572.610223999999,571.073624999999,561.914415999999
Buildings Direct,min,295.63,259.2,249.28
Buildings Direct,median,523.336552379761,491.903054886779,468.540959764836
Industry Direct,max,1072.28115139338,1076.13,1074.38
Industry Direct,min,788.9173598303436,789.9206058473897,702.814265742925
Industry Direct,median,912.7281439159055,916.1431730146705,901.0758102659486
Transportation Direct,max,1785.6247990000002,1606.871304,1463.246708
Transportation Direct,min,1488.81,1357.17964232201,1195.014895
Transportation Direct,median,1661.800411916725,1468.7872904404499,1304.591517388425
Electricity,max,1410.01,1232.67,784.368180921919
Electricity,min,1001.23988404397,413.513524771282,323.38378502023
Electricity,median,1176.7889391169,753.5241266870601,544.2865545291716
Buildings Indirect,max,1027.63664606733,881.732673452674,528.815057055452
Buildings Indirect,min,750.183210613742,344.611136291211,211.398579489139
Buildings Indirect,median,822.6114592146371,562.342858901744,405.56068690778
Industry Indirect,max,466.00166769193,349.757646446614,191.422876788582
Industry Indirect,min,227.595960513976,122.272212534517,72.9655588131667
Industry Indirect,median,294.093752394684,187.3815740777033,144.922299246154
Transportation Indirect,max,114.165889002573,112.421116773016,87.2015445289024
Transportation Indirect,min,8.0379178396307,9.61274936954768,12.5680666070461
Transportation Indirect,median,23.4607129162522,37.608463631020456,39.82942949503325
