"scenario","year","variable_rename","value","figure_num"
"Low",2025,"Reference",1437.92303775355,"D.1.scout_results"
"Low",2025,"Total",1396.36480233218,"D.1.scout_results"
"Low",2025,"Power",38.5753811852732,"D.1.scout_results"
"Low",2025,"Other",0.129613476233736,"D.1.scout_results"
"Low",2025,"WaterHeating",0.801025947232484,"D.1.scout_results"
"Low",2025,"HVAC",2.05221481263368,"D.1.scout_results"
"Low",2026,"Reference",1405.88117863662,"D.1.scout_results"
"Low",2026,"Total",1364.62433798701,"D.1.scout_results"
"Low",2026,"Power",37.1760261250571,"D.1.scout_results"
"Low",2026,"Other",0.179382221236442,"D.1.scout_results"
"Low",2026,"WaterHeating",1.10661622205704,"D.1.scout_results"
"Low",2026,"HVAC",2.79481608125806,"D.1.scout_results"
"Low",2027,"Reference",1376.58154456118,"D.1.scout_results"
"Low",2027,"Total",1335.66693125198,"D.1.scout_results"
"Low",2027,"Power",35.6848020210124,"D.1.scout_results"
"Low",2027,"Other",0.231782154403576,"D.1.scout_results"
"Low",2027,"WaterHeating",1.42942326148373,"D.1.scout_results"
"Low",2027,"HVAC",3.56860587230521,"D.1.scout_results"
"Low",2028,"Reference",1347.33616824025,"D.1.scout_results"
"Low",2028,"Total",1306.53461030291,"D.1.scout_results"
"Low",2028,"Power",34.3876725587425,"D.1.scout_results"
"Low",2028,"Other",0.286844685774831,"D.1.scout_results"
"Low",2028,"WaterHeating",1.76954444857899,"D.1.scout_results"
"Low",2028,"HVAC",4.35749624423479,"D.1.scout_results"
"Low",2029,"Reference",1319.06600253361,"D.1.scout_results"
"Low",2029,"Total",1278.52893200078,"D.1.scout_results"
"Low",2029,"Power",32.9159232589961,"D.1.scout_results"
"Low",2029,"Other",0.344279515059233,"D.1.scout_results"
"Low",2029,"WaterHeating",2.12636913161406,"D.1.scout_results"
"Low",2029,"HVAC",5.15049862716108,"D.1.scout_results"
"Low",2030,"Reference",1289.06707593505,"D.1.scout_results"
"Low",2030,"Total",1248.49022887952,"D.1.scout_results"
"Low",2030,"Power",31.7065166488613,"D.1.scout_results"
"Low",2030,"Other",0.404887797621298,"D.1.scout_results"
"Low",2030,"WaterHeating",2.50448116034833,"D.1.scout_results"
"Low",2030,"HVAC",5.96096144870349,"D.1.scout_results"
"Low",2031,"Reference",1284.4376126867,"D.1.scout_results"
"Low",2031,"Total",1222.84698611782,"D.1.scout_results"
"Low",2031,"Power",51.3627023655401,"D.1.scout_results"
"Low",2031,"Other",0.470340515708231,"D.1.scout_results"
"Low",2031,"WaterHeating",2.90929237685264,"D.1.scout_results"
"Low",2031,"HVAC",6.84829131077216,"D.1.scout_results"
"Low",2032,"Reference",1282.04755396044,"D.1.scout_results"
"Low",2032,"Total",1198.53801584869,"D.1.scout_results"
"Low",2032,"Power",71.7761913175054,"D.1.scout_results"
"Low",2032,"Other",0.545168060311745,"D.1.scout_results"
"Low",2032,"WaterHeating",3.36032008574543,"D.1.scout_results"
"Low",2032,"HVAC",7.82785864819014,"D.1.scout_results"
"Low",2033,"Reference",1279.38627125105,"D.1.scout_results"
"Low",2033,"Total",1173.80864220517,"D.1.scout_results"
"Low",2033,"Power",92.1386172481067,"D.1.scout_results"
"Low",2033,"Other",0.628957294987106,"D.1.scout_results"
"Low",2033,"WaterHeating",3.87923290650338,"D.1.scout_results"
"Low",2033,"HVAC",8.93082159628035,"D.1.scout_results"
