"variable","unit","model","year","value","version"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","EPS-EI","2025",981.122,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","EPS-EI","2030",731.47,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","EPS-EI","2035",647.218,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","GCAM-CGS","2025",1071,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","GCAM-CGS","2030",934,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","GCAM-CGS","2035",857,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","Haiku-RFF","2025",996.7117919,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","Haiku-RFF","2030",763.0023529,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","Haiku-RFF","2035",729.0073319,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","IPM-NRDC","2025",981.7075546,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","IPM-NRDC","2030",754.3966071,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","IPM-NRDC","2035",720.7850088,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","MARKAL-NETL","2025",1475.9467,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","MARKAL-NETL","2030",1403.6106,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","MARKAL-NETL","2035",1334.8197,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NEMS-RHG","2025",959.120411,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NEMS-RHG","2030",733.7969569,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NEMS-RHG","2035",701.8921977,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","ReEDS-NREL","2025",959.2577507,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","ReEDS-NREL","2030",734.3302259,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","ReEDS-NREL","2035",701.6132036,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","REGEN-EPRI","2025",943.7522559,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","REGEN-EPRI","2030",862.4870866,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","REGEN-EPRI","2035",793.0200524,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","RIO-REPEAT","2025",1004.33,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","RIO-REPEAT","2030",760.08,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","RIO-REPEAT","2035",712.84,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1333.262285,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",922.1817431,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",619.950214,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",581.8266407,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1333.262285,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",981.7075546,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",754.3966071,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",720.7850088,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1333.262285,"Conservative"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",1156.677689,"Conservative"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",1149.588253,"Conservative"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",1050.790341,"Conservative"
"Wind Onshore","Capital Costs (2020$/kW)","EPS-EI","2025",1169.16,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","EPS-EI","2030",888.378,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","EPS-EI","2035",804.039,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","GCAM-CGS","2025",1250,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","GCAM-CGS","2030",1170,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","GCAM-CGS","2035",1109,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","Haiku-RFF","2025",1204.374643,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","Haiku-RFF","2030",948.7196609,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","Haiku-RFF","2035",901.2836779,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","IPM-NRDC","2025",1206,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","IPM-NRDC","2030",955.919273,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","IPM-NRDC","2035",908.1233094,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","MARKAL-NETL","2025",1176.0334,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","MARKAL-NETL","2030",1118.396,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","MARKAL-NETL","2035",1063.5835,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NEMS-RHG","2025",1158.494135,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NEMS-RHG","2030",913.2577405,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NEMS-RHG","2035",867.3960319,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","ReEDS-NREL","2025",1159.11736,"Moderate"
