"figure_num","model","scenario","variable","unit","year","label","value"
"5.4.ccs","EPS-EI","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",92.06339
"5.4.ccs","EPS-EI","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",231.95186
"5.4.ccs","EPS-EI","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",74.15254
"5.4.ccs","EPS-EI","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",133.99532
"5.4.ccs","GCAM-CGS","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",36.2043839593333
"5.4.ccs","GCAM-CGS","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",36.1780939556667
"5.4.ccs","GCAM-CGS","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",3.50475766666667
"5.4.ccs","GCAM-CGS","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",0
"5.4.ccs","MARKAL-NETL","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",10.58603
"5.4.ccs","MARKAL-NETL","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",26.55749
"5.4.ccs","MARKAL-NETL","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",10.27
"5.4.ccs","MARKAL-NETL","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",26.95
"5.4.ccs","NEMS-OP","IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",21.19808081
"5.4.ccs","NEMS-OP","IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",31.3691778
"5.4.ccs","NEMS-OP","No IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",4.46537467
"5.4.ccs","NEMS-OP","No IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",3.24857967
"5.4.ccs","NEMS-RHG","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",79.6885514835102
"5.4.ccs","NEMS-RHG","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",192.739028763073
"5.4.ccs","NEMS-RHG","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",58.7163836665102
"5.4.ccs","NEMS-RHG","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",58.8091734190729
"5.4.ccs","RIO-REPEAT","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",22.9
"5.4.ccs","RIO-REPEAT","IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",122.8
"5.4.ccs","RIO-REPEAT","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",0.7
"5.4.ccs","RIO-REPEAT","No IRA","Carbon Sequestration|CCS|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",0.7
"5.4.ccs","USREP-ReEDS","IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",235.5379795
"5.4.ccs","USREP-ReEDS","IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",180.373314
"5.4.ccs","USREP-ReEDS","No IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2030","Industrial CCS",0
"5.4.ccs","USREP-ReEDS","No IRA","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","Mt CO2/yr","2035","Industrial CCS",0
