year,model,scenario,value,diff_2005,per_diff,,,year,scenario,min_ab,max_ab,median_ab,min_diff,max_diff,median_diff
2025,EPS-EI,IRA,4.97,1.72,25.72,,,2025,IRA,4.5,5.32,4.84,20.49,32.8,27.76
2025,EPS-EI,No IRA,5.33,1.36,20.37,,,2025,No IRA,4.96,5.42,5.1,19.08,25.86,23.88
2025,GCAM-CGS,IRA,4.7,2,29.81,,,2030,IRA,3.99,4.14,4.09,38.2,40.35,38.95
2025,GCAM-CGS,No IRA,5.22,1.48,22.05,,,2030,No IRA,4.64,5.03,4.84,24.81,30.67,27.74
2025,GCAM-PNNL,IRA,4.57,2.13,31.8,,,2035,IRA,3.35,3.93,3.76,41.31,49.97,43.71
2025,GCAM-PNNL,No IRA,4.96,1.73,25.86,,,2035,No IRA,4.34,4.9,4.64,26.86,35.18,30.6
2025,NEMS-RHG,IRA,5.05,1.65,24.62,,,,,,,,,,
2025,NEMS-RHG,No IRA,4.97,1.73,25.85,,,,,,,,,,
2025,RIO-REPEAT,IRA,5.32,1.37,20.49,,,,,,,,,,
2025,RIO-REPEAT,No IRA,5.42,1.28,19.08,,,,,,,,,,
2025,USREP-ReEDS,IRA,4.5,2.2,32.8,,,,,,,,,,
2025,USREP-ReEDS,No IRA,4.97,1.72,25.72,,,,,,,,,,
2030,EPS-EI,IRA,4.1,2.6,38.81,,,,,,,,,,
2030,EPS-EI,No IRA,5,1.7,25.32,,,,,,,,,,
2030,GCAM-CGS,IRA,4.08,2.62,39.09,,,,,,,,,,
2030,GCAM-CGS,No IRA,5.03,1.66,24.81,,,,,,,,,,
2030,GCAM-PNNL,IRA,4.14,2.56,38.2,,,,,,,,,,
2030,GCAM-PNNL,No IRA,4.89,1.8,26.94,,,,,,,,,,
2030,NEMS-RHG,IRA,4.02,2.68,39.99,,,,,,,,,,
2030,NEMS-RHG,No IRA,4.64,2.05,30.67,,,,,,,,,,
2030,RIO-REPEAT,IRA,4.14,2.56,38.21,,,,,,,,,,
2030,RIO-REPEAT,No IRA,4.77,1.93,28.76,,,,,,,,,,
2030,USREP-ReEDS,IRA,3.99,2.7,40.35,,,,,,,,,,
2030,USREP-ReEDS,No IRA,4.79,1.91,28.54,,,,,,,,,,
2035,EPS-EI,IRA,3.66,3.03,45.31,,,,,,,,,,
2035,EPS-EI,No IRA,4.8,1.9,28.34,,,,,,,,,,
2035,GCAM-CGS,IRA,3.84,2.86,42.71,,,,,,,,,,
2035,GCAM-CGS,No IRA,4.9,1.8,26.86,,,,,,,,,,
2035,GCAM-PNNL,IRA,3.93,2.77,41.31,,,,,,,,,,
2035,GCAM-PNNL,No IRA,4.71,1.98,29.59,,,,,,,,,,
2035,NEMS-RHG,IRA,3.78,2.91,43.48,,,,,,,,,,
2035,NEMS-RHG,No IRA,4.34,2.36,35.18,,,,,,,,,,
2035,RIO-REPEAT,IRA,3.35,3.35,49.97,,,,,,,,,,
2035,RIO-REPEAT,No IRA,4.42,2.27,33.96,,,,,,,,,,
2035,USREP-ReEDS,IRA,3.75,2.94,43.94,,,,,,,,,,
2035,USREP-ReEDS,No IRA,4.58,2.12,31.62,,,,,,,,,,
