"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",-234.805134,"Ap.4.BuilEmis"
"USREP-ReEDS",2030,"IRA","CO2",-449.7325188,"Ap.4.BuilEmis"
"USREP-ReEDS",2035,"IRA","CO2",-470.6007811,"Ap.4.BuilEmis"
"EPS-EI",2025,"IRA","CO2",-148.8457792,"Ap.4.BuilEmis"
"EPS-EI",2030,"IRA","CO2",-477.3697985,"Ap.4.BuilEmis"
"EPS-EI",2035,"IRA","CO2",-635.4642192,"Ap.4.BuilEmis"
"GCAM-CGS",2025,"IRA","CO2",-309.2766573,"Ap.4.BuilEmis"
"GCAM-CGS",2030,"IRA","CO2",-554.396151,"Ap.4.BuilEmis"
"GCAM-CGS",2035,"IRA","CO2",-676.030598,"Ap.4.BuilEmis"
"GCAM-PNNL",2025,"IRA","CO2",-165.742975425237,"Ap.4.BuilEmis"
"GCAM-PNNL",2030,"IRA","CO2",-348.433507294329,"Ap.4.BuilEmis"
"GCAM-PNNL",2035,"IRA","CO2",-370.769012506166,"Ap.4.BuilEmis"
"MARKAL-NETL",2025,"IRA","CO2",-25.604253,"Ap.4.BuilEmis"
"MARKAL-NETL",2030,"IRA","CO2",-156.0417715,"Ap.4.BuilEmis"
"MARKAL-NETL",2035,"IRA","CO2",-557.4170979,"Ap.4.BuilEmis"
"NEMS-RHG",2025,"IRA","CO2",71.1061353999999,"Ap.4.BuilEmis"
"NEMS-RHG",2030,"IRA","CO2",-365.3774155,"Ap.4.BuilEmis"
"NEMS-RHG",2035,"IRA","CO2",-243.4029307,"Ap.4.BuilEmis"
"OP-NEMS",2022,"IRA","CO2",0.219238000000132,"Ap.4.BuilEmis"
"OP-NEMS",2023,"IRA","CO2",-2.34027199999991,"Ap.4.BuilEmis"
"OP-NEMS",2024,"IRA","CO2",-20.818176,"Ap.4.BuilEmis"
"OP-NEMS",2025,"IRA","CO2",-57.8485110000001,"Ap.4.BuilEmis"
"OP-NEMS",2026,"IRA","CO2",-94.495543,"Ap.4.BuilEmis"
"OP-NEMS",2027,"IRA","CO2",-135.542724,"Ap.4.BuilEmis"
"OP-NEMS",2028,"IRA","CO2",-191.434387,"Ap.4.BuilEmis"
"OP-NEMS",2029,"IRA","CO2",-250.772035,"Ap.4.BuilEmis"
"OP-NEMS",2030,"IRA","CO2",-277.868103,"Ap.4.BuilEmis"
"OP-NEMS",2031,"IRA","CO2",-300.752565,"Ap.4.BuilEmis"
"OP-NEMS",2032,"IRA","CO2",-312.562225,"Ap.4.BuilEmis"
"OP-NEMS",2033,"IRA","CO2",-353.15219,"Ap.4.BuilEmis"
"OP-NEMS",2034,"IRA","CO2",-388.099121,"Ap.4.BuilEmis"
"OP-NEMS",2035,"IRA","CO2",-403.858307,"Ap.4.BuilEmis"
"REGEN-EPRI",2025,"IRA","CO2",-27.3193525000002,"Ap.4.BuilEmis"
"REGEN-EPRI",2030,"IRA","CO2",-108.7684787,"Ap.4.BuilEmis"
"REGEN-EPRI",2035,"IRA","CO2",-366.7613672,"Ap.4.BuilEmis"
"RIO-REPEAT",2025,"IRA","CO2",4.34098400000016,"Ap.4.BuilEmis"
"RIO-REPEAT",2030,"IRA","CO2",-225.5775631,"Ap.4.BuilEmis"
"RIO-REPEAT",2035,"IRA","CO2",-373.3999779,"Ap.4.BuilEmis"
"Scout-LEEP",2025,"IRA","CO2",-26.1139629414647,"Ap.4.BuilEmis"
"Scout-LEEP",2030,"IRA","CO2",-67.2716727269224,"Ap.4.BuilEmis"
"Scout-LEEP",2035,"IRA","CO2",-115.342910847037,"Ap.4.BuilEmis"
"AEO.2023",2022,"IRA","CO2",-0.680419999999685,"Ap.4.BuilEmis"
"AEO.2023",2023,"IRA","CO2",-5.69055100000014,"Ap.4.BuilEmis"
"AEO.2023",2024,"IRA","CO2",-2.30322300000012,"Ap.4.BuilEmis"
"AEO.2023",2025,"IRA","CO2",-25.3790279999998,"Ap.4.BuilEmis"
"AEO.2023",2026,"IRA","CO2",-86.9665539999999,"Ap.4.BuilEmis"
"AEO.2023",2027,"IRA","CO2",-159.251526,"Ap.4.BuilEmis"
"AEO.2023",2028,"IRA","CO2",-222.786621,"Ap.4.BuilEmis"
"AEO.2023",2029,"IRA","CO2",-272.273559,"Ap.4.BuilEmis"
"AEO.2023",2030,"IRA","CO2",-293.479432,"Ap.4.BuilEmis"
"AEO.2023",2031,"IRA","CO2",-284.063141,"Ap.4.BuilEmis"
"AEO.2023",2032,"IRA","CO2",-268.892364,"Ap.4.BuilEmis"
"AEO.2023",2033,"IRA","CO2",-268.936218,"Ap.4.BuilEmis"
"AEO.2023",2034,"IRA","CO2",-277.927643,"Ap.4.BuilEmis"
"AEO.2023",2035,"IRA","CO2",-275.838196,"Ap.4.BuilEmis"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.4.BuilEmis"
"EPS-EI",2021,"Historic","CO2",0,"Ap.4.BuilEmis"
