"figure_num","model","scenario","variable","unit","year","value"
"E.21.elec_share_transportation","EPS-EI","IRA","Transportation","% Electricity of Final Energy",2025,1.1502633
"E.21.elec_share_transportation","EPS-EI","IRA","Transportation","% Electricity of Final Energy",2030,4.2992752
"E.21.elec_share_transportation","EPS-EI","IRA","Transportation","% Electricity of Final Energy",2035,8.2930353
"E.21.elec_share_transportation","GCAM-CGS","IRA","Transportation","% Electricity of Final Energy",2025,1.4
"E.21.elec_share_transportation","GCAM-CGS","IRA","Transportation","% Electricity of Final Energy",2030,4.4
"E.21.elec_share_transportation","GCAM-CGS","IRA","Transportation","% Electricity of Final Energy",2035,4.9
"E.21.elec_share_transportation","NEMS-RHG","IRA","Transportation","% Electricity of Final Energy",2025,0.4431455
"E.21.elec_share_transportation","NEMS-RHG","IRA","Transportation","% Electricity of Final Energy",2030,1.7463193
"E.21.elec_share_transportation","NEMS-RHG","IRA","Transportation","% Electricity of Final Energy",2035,4.1249706
"E.21.elec_share_transportation","RIO-REPEAT","IRA","Transportation","% Electricity of Final Energy",2025,1.19
"E.21.elec_share_transportation","RIO-REPEAT","IRA","Transportation","% Electricity of Final Energy",2030,5.76
"E.21.elec_share_transportation","RIO-REPEAT","IRA","Transportation","% Electricity of Final Energy",2035,15.07
"E.21.elec_share_transportation","GCAM-PNNL","IRA","Transportation","% Electricity of Final Energy",2025,1.6397128702007
"E.21.elec_share_transportation","GCAM-PNNL","IRA","Transportation","% Electricity of Final Energy",2030,6.19681685752509
"E.21.elec_share_transportation","GCAM-PNNL","IRA","Transportation","% Electricity of Final Energy",2035,11.8983393196971
"E.21.elec_share_transportation","OP-NEMS","IRA","Transportation","% Electricity of Final Energy",2025,0.593203799687685
"E.21.elec_share_transportation","OP-NEMS","IRA","Transportation","% Electricity of Final Energy",2030,3.22803347793364
"E.21.elec_share_transportation","OP-NEMS","IRA","Transportation","% Electricity of Final Energy",2035,6.98140598634755
"E.21.elec_share_transportation","USREP-ReEDS","IRA","Transportation","% Electricity of Final Energy",2025,0.475475773036775
"E.21.elec_share_transportation","USREP-ReEDS","IRA","Transportation","% Electricity of Final Energy",2030,2.12776684954314
"E.21.elec_share_transportation","USREP-ReEDS","IRA","Transportation","% Electricity of Final Energy",2035,4.79310028802458
"E.21.elec_share_transportation","GCAM-PNNL","No IRA","Transportation","% Electricity of Final Energy",2025,0.857914923154445
"E.21.elec_share_transportation","GCAM-PNNL","No IRA","Transportation","% Electricity of Final Energy",2030,2.93866559141966
"E.21.elec_share_transportation","GCAM-PNNL","No IRA","Transportation","% Electricity of Final Energy",2035,7.24344658191718
"E.21.elec_share_transportation","OP-NEMS","No IRA","Transportation","% Electricity of Final Energy",2025,0.403380524187557
"E.21.elec_share_transportation","OP-NEMS","No IRA","Transportation","% Electricity of Final Energy",2030,0.971446908693599
"E.21.elec_share_transportation","OP-NEMS","No IRA","Transportation","% Electricity of Final Energy",2035,1.95439055800989
"E.21.elec_share_transportation","USREP-ReEDS","No IRA","Transportation","% Electricity of Final Energy",2025,0.36373661476625
"E.21.elec_share_transportation","USREP-ReEDS","No IRA","Transportation","% Electricity of Final Energy",2030,1.90255704741305
"E.21.elec_share_transportation","USREP-ReEDS","No IRA","Transportation","% Electricity of Final Energy",2035,3.98551424811989
"E.21.elec_share_transportation","EPS-EI","No IRA","Transportation","% Electricity of Final Energy",2025,0.9483943
"E.21.elec_share_transportation","EPS-EI","No IRA","Transportation","% Electricity of Final Energy",2030,3.1970151
"E.21.elec_share_transportation","EPS-EI","No IRA","Transportation","% Electricity of Final Energy",2035,6.4558501
"E.21.elec_share_transportation","GCAM-CGS","No IRA","Transportation","% Electricity of Final Energy",2025,0.79
"E.21.elec_share_transportation","GCAM-CGS","No IRA","Transportation","% Electricity of Final Energy",2030,2
"E.21.elec_share_transportation","GCAM-CGS","No IRA","Transportation","% Electricity of Final Energy",2035,3.4
"E.21.elec_share_transportation","NEMS-RHG","No IRA","Transportation","% Electricity of Final Energy",2025,0.4295712
"E.21.elec_share_transportation","NEMS-RHG","No IRA","Transportation","% Electricity of Final Energy",2030,1.1769237
"E.21.elec_share_transportation","NEMS-RHG","No IRA","Transportation","% Electricity of Final Energy",2035,2.417133
"E.21.elec_share_transportation","RIO-REPEAT","No IRA","Transportation","% Electricity of Final Energy",2025,1.09
"E.21.elec_share_transportation","RIO-REPEAT","No IRA","Transportation","% Electricity of Final Energy",2030,4.14
"E.21.elec_share_transportation","RIO-REPEAT","No IRA","Transportation","% Electricity of Final Energy",2035,9.61
"E.21.elec_share_transportation","EPS-EI","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","GCAM-CGS","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","NEMS-RHG","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","RIO-REPEAT","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","GCAM-PNNL","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","OP-NEMS","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","USREP-ReEDS","IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","GCAM-PNNL","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","OP-NEMS","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","USREP-ReEDS","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","EPS-EI","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","GCAM-CGS","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","NEMS-RHG","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","RIO-REPEAT","No IRA","Transportation","% Electricity of Final Energy",2020,0.14366747608161
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.201869
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,1.1022601
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,1.8371852
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.61
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,2.4
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,1.5
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.781797947046255
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,3.25815126610543
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,4.65489273777992
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.0135742999999999
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,0.5693956
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,1.7078376
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.189823275500128
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,2.25658656924004
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,5.02701542833766
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.1
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,1.62
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,5.46
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.111739158270525
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,0.22520980213009
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,0.80758603990469
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2025,21.2853451354568
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2030,34.4777883595232
"E.21.elec_share_transportation","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2035,28.4576805771869
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2025,77.2151898734177
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2030,120
"E.21.elec_share_transportation","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2035,44.1176470588235
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2025,91.1276778088534
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2030,110.871794178235
"E.21.elec_share_transportation","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2035,64.2635061242886
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2025,3.15996510008118
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2030,48.3799926877163
"E.21.elec_share_transportation","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2035,70.6555079923198
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2025,47.0581161255736
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2030,232.291291376355
"E.21.elec_share_transportation","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2035,257.216522446596
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2025,9.17431192660551
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2030,39.1304347826087
"E.21.elec_share_transportation","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2035,56.8158168574401
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2025,30.719799364255
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2030,11.8372167833975
"E.21.elec_share_transportation","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2035,20.2630323122206
