"model","scenario","variable_rename","year","value"
"USREP-ReEDS","No IRA","Gas",2025,28.53357468325
"USREP-ReEDS","No IRA","Gas",2030,27.927511612518
"USREP-ReEDS","No IRA","Gas",2035,28.09551763585
"USREP-ReEDS","No IRA","Gas",2021,31.3420508618582
"USREP-ReEDS","IRA","Gas",2025,28.485925374648
"USREP-ReEDS","IRA","Gas",2030,25.007408869226
"USREP-ReEDS","IRA","Gas",2035,23.254349354768
"USREP-ReEDS","IRA","Gas",2021,31.3420508618582
"EPS-EI","No IRA","Gas",2025,33.3014984679387
"EPS-EI","No IRA","Gas",2030,34.2134819945859
"EPS-EI","No IRA","Gas",2035,34.7352725693717
"EPS-EI","No IRA","Gas",2021,31.3420508618582
"EPS-EI","IRA","Gas",2025,31.7759260246787
"EPS-EI","IRA","Gas",2030,27.1074103530719
"EPS-EI","IRA","Gas",2035,25.4349405632501
"EPS-EI","IRA","Gas",2021,31.3420508618582
"GCAM-CGS","No IRA","Gas",2025,26.509852900434
"GCAM-CGS","No IRA","Gas",2030,26.0153594629061
"GCAM-CGS","No IRA","Gas",2035,27.1800777608441
"GCAM-CGS","No IRA","Gas",2021,31.3420508618582
"GCAM-CGS","IRA","Gas",2025,26.1784844784294
"GCAM-CGS","IRA","Gas",2030,25.9702417944638
"GCAM-CGS","IRA","Gas",2035,25.7433264620041
"GCAM-CGS","IRA","Gas",2021,31.3420508618582
"GCAM-PNNL","No IRA","Gas",2025,30.8006486249846
"GCAM-PNNL","No IRA","Gas",2030,32.4171992841585
"GCAM-PNNL","No IRA","Gas",2035,33.978357807185
"GCAM-PNNL","No IRA","Gas",2021,31.3420508618582
"GCAM-PNNL","IRA","Gas",2025,25.9532205058254
"GCAM-PNNL","IRA","Gas",2030,27.1130985715865
"GCAM-PNNL","IRA","Gas",2035,27.3313517296507
"GCAM-PNNL","IRA","Gas",2021,31.3420508618582
"MARKAL-NETL","No IRA","Gas",2025,27.2532177193224
"MARKAL-NETL","No IRA","Gas",2030,27.6820599730534
"MARKAL-NETL","No IRA","Gas",2035,28.4719757046372
"MARKAL-NETL","No IRA","Gas",2021,31.3420508618582
"MARKAL-NETL","IRA","Gas",2025,27.2238782492874
"MARKAL-NETL","IRA","Gas",2030,25.6227171714011
"MARKAL-NETL","IRA","Gas",2035,22.9419355949299
"MARKAL-NETL","IRA","Gas",2021,31.3420508618582
"NEMS-RHG","No IRA","Gas",2025,29.3957230187927
"NEMS-RHG","No IRA","Gas",2030,29.696635583345
"NEMS-RHG","No IRA","Gas",2035,29.1378236772835
"NEMS-RHG","No IRA","Gas",2021,31.3420508618582
"NEMS-RHG","IRA","Gas",2025,30.7722201548317
"NEMS-RHG","IRA","Gas",2030,26.4149648608624
"NEMS-RHG","IRA","Gas",2035,27.0232358735335
"NEMS-RHG","IRA","Gas",2021,31.3420508618582
"OP-NEMS","No IRA","Gas",2025,30.8277545269627
"OP-NEMS","No IRA","Gas",2030,29.7727114371561
"OP-NEMS","No IRA","Gas",2035,29.5339205484941
"OP-NEMS","No IRA","Gas",2022,31.2680634777553
"OP-NEMS","No IRA","Gas",2023,31.1522960165396
"OP-NEMS","No IRA","Gas",2024,31.1134401973754
"OP-NEMS","No IRA","Gas",2026,30.6875171796304
"OP-NEMS","No IRA","Gas",2027,30.5063740226745
"OP-NEMS","No IRA","Gas",2028,30.4805881426826
"OP-NEMS","No IRA","Gas",2029,30.1967984634459
"OP-NEMS","No IRA","Gas",2031,29.5857163074355
"OP-NEMS","No IRA","Gas",2032,29.6740978961057
"OP-NEMS","No IRA","Gas",2033,29.6289441062524
"OP-NEMS","No IRA","Gas",2034,29.6316660935842
"OP-NEMS","No IRA","Gas",2021,31.3420508618582
"OP-NEMS","IRA","Gas",2025,29.9058588174853
"OP-NEMS","IRA","Gas",2030,26.846372056403
"OP-NEMS","IRA","Gas",2035,25.1756988317523
"OP-NEMS","IRA","Gas",2022,31.2696714702717
"OP-NEMS","IRA","Gas",2023,31.0314185791058
"OP-NEMS","IRA","Gas",2024,30.5724747150405
"OP-NEMS","IRA","Gas",2026,29.4398429863331
"OP-NEMS","IRA","Gas",2027,28.8147348955997
"OP-NEMS","IRA","Gas",2028,28.215660683704
"OP-NEMS","IRA","Gas",2029,27.5420698186105
"OP-NEMS","IRA","Gas",2031,26.4797317627548
"OP-NEMS","IRA","Gas",2032,26.3576443309524
"OP-NEMS","IRA","Gas",2033,26.0089199539232
"OP-NEMS","IRA","Gas",2034,25.3985457946177
"OP-NEMS","IRA","Gas",2021,31.3420508618582
"REGEN-EPRI","No IRA","Gas",2025,28.709481414521
"REGEN-EPRI","No IRA","Gas",2030,29.3094705767889
"REGEN-EPRI","No IRA","Gas",2035,30.5394483594382
"REGEN-EPRI","No IRA","Gas",2021,31.3420508618582
"REGEN-EPRI","IRA","Gas",2025,29.0994743699952
"REGEN-EPRI","IRA","Gas",2030,29.6794638935208
"REGEN-EPRI","IRA","Gas",2035,25.839533255006
"REGEN-EPRI","IRA","Gas",2021,31.3420508618582
"RIO-REPEAT","No IRA","Gas",2025,11.7697873998228
"RIO-REPEAT","No IRA","Gas",2030,11.7497877610805
"RIO-REPEAT","No IRA","Gas",2035,11.709788483596
"RIO-REPEAT","No IRA","Gas",2021,31.3420508618582
"RIO-REPEAT","IRA","Gas",2025,11.6897888448537
"RIO-REPEAT","IRA","Gas",2030,11.2097975150394
"RIO-REPEAT","IRA","Gas",2035,10.729806185225
"RIO-REPEAT","IRA","Gas",2021,31.3420508618582
"AEO.2023","No IRA","Gas",2025,30.9438619865961
"AEO.2023","No IRA","Gas",2030,32.140876415665
"AEO.2023","No IRA","Gas",2035,31.903932518407
"AEO.2023","No IRA","Gas",2022,33.1832755643168
"AEO.2023","No IRA","Gas",2023,32.0724367341848
"AEO.2023","No IRA","Gas",2024,30.7508088850694
"AEO.2023","No IRA","Gas",2026,31.4595665864957
"AEO.2023","No IRA","Gas",2027,31.6923705030212
"AEO.2023","No IRA","Gas",2028,32.0313529253897
"AEO.2023","No IRA","Gas",2029,32.1708402762125
"AEO.2023","No IRA","Gas",2031,31.7681511503365
"AEO.2023","No IRA","Gas",2032,31.5269772727649
"AEO.2023","No IRA","Gas",2033,31.5995159351684
"AEO.2023","No IRA","Gas",2034,31.8142379358476
"AEO.2023","No IRA","Gas",2021,31.3420508618582
"AEO.2023","IRA","Gas",2025,30.4562522559423
"AEO.2023","IRA","Gas",2030,29.1747142202481
"AEO.2023","IRA","Gas",2035,28.7312922839434
"AEO.2023","IRA","Gas",2022,33.1836985623481
"AEO.2023","IRA","Gas",2023,31.9753171861812
"AEO.2023","IRA","Gas",2024,30.7554168636238
"AEO.2023","IRA","Gas",2026,30.3478027606686
"AEO.2023","IRA","Gas",2027,29.8544410567847
"AEO.2023","IRA","Gas",2028,29.6480840171748
"AEO.2023","IRA","Gas",2029,29.4191590825964
"AEO.2023","IRA","Gas",2031,28.9941490606023
"AEO.2023","IRA","Gas",2032,29.0012170277078
"AEO.2023","IRA","Gas",2033,28.8018049557759
"AEO.2023","IRA","Gas",2034,28.7518821881175
"AEO.2023","IRA","Gas",2021,31.3420508618582
"EIA","Historic","Gas",2021,31.3420508618582
