"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EPS-EI","IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",92.06339,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"EPS-EI","IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",231.95186,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"EPS-EI","No IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",74.15254,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"EPS-EI","No IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",133.99532,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"GCAM-CGS","IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",36.2043839593333,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"GCAM-CGS","IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",36.1780939556667,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"GCAM-CGS","No IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",3.50475766666667,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"GCAM-CGS","No IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",0,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"MARKAL-NETL","IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",10.58603,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"MARKAL-NETL","IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",26.55749,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"MARKAL-NETL","No IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",10.27,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"MARKAL-NETL","No IRA","Mt CO2/yr","2035","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",26.95,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"NEMS-OP","IRA","Mt CO2/yr","2030","OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","United States",21.19808081,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"NEMS-OP","IRA","Mt CO2/yr","2035","OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","United States",31.3691778,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"NEMS-OP","No IRA","Mt CO2/yr","2030","OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","United States",4.46537467,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"NEMS-OP","No IRA","Mt CO2/yr","2035","OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry","United States",3.24857967,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
"NEMS-RHG","IRA","Mt CO2/yr","2030","bistline_ira_tall.csv","Carbon Sequestration|CCS|Energy|Demand|Industry","United States",79.6885514835102,"stackbar",21,"Industrial CCS",0,"Industrial CCS","usa","models_leep","ira_2030_2035","main_scenarios","single","stack","year","value",NA,NA,"model","region","fixed"
