"figure_num","model","scenario","variable","unit","year","label","value"
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2005,"Buildings: Direct",586
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2005,"Buildings: Indirect",1659
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2005,"Industry: Direct",850.8
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2005,"Industry: Indirect",736.3
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2005,"Transportation: Direct",1858.6
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2005,"Transportation: Indirect",4.7
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2005,"Industry: Process",385.1
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2006,"Buildings: Direct",533.5
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2006,"Buildings: Indirect",1628.4
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2006,"Industry: Direct",875.1
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2006,"Industry: Indirect",711.4
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2006,"Transportation: Direct",1859.1
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2006,"Transportation: Indirect",4.5
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2006,"Industry: Process",389.3
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2007,"Buildings: Direct",564.3
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2007,"Buildings: Indirect",1691.1
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2007,"Industry: Direct",866.4
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2007,"Industry: Indirect",714.9
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2007,"Transportation: Direct",1860.7
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2007,"Transportation: Indirect",5.1
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2007,"Industry: Process",381
"1.1.ewco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2008,"Buildings: Direct",575.4
