"model","scenario","year","value","variable","alpha","variable_rename"
"EPS-EI","IRA",2020,13,"Industry",1,"Industry"
"GCAM-CGS","IRA",2020,13,"Industry",1,"Industry"
"NEMS-RHG","IRA",2020,13,"Industry",1,"Industry"
"RIO-REPEAT","IRA",2020,13,"Industry",1,"Industry"
"EPS-EI","No IRA",2020,13,"Industry",1,"Industry"
"GCAM-CGS","No IRA",2020,13,"Industry",1,"Industry"
"NEMS-RHG","No IRA",2020,13,"Industry",1,"Industry"
"RIO-REPEAT","No IRA",2020,13,"Industry",1,"Industry"
"GCAM-PNNL","IRA",2020,13,"Industry",1,"Industry"
"OP-NEMS","IRA",2020,13,"Industry",1,"Industry"
"USREP-ReEDS","IRA",2020,13,"Industry",1,"Industry"
"GCAM-PNNL","No IRA",2020,13,"Industry",1,"Industry"
"OP-NEMS","No IRA",2020,13,"Industry",1,"Industry"
"USREP-ReEDS","No IRA",2020,13,"Industry",1,"Industry"
"EPS-EI","IRA",2025,18.0507704,"Industry",1,"Industry"
"EPS-EI","IRA",2030,17.9669787,"Industry",1,"Industry"
"EPS-EI","IRA",2035,17.876559,"Industry",1,"Industry"
"GCAM-CGS","IRA",2025,15.6,"Industry",1,"Industry"
"GCAM-CGS","IRA",2030,18,"Industry",1,"Industry"
"GCAM-CGS","IRA",2035,17.7,"Industry",1,"Industry"
"NEMS-RHG","IRA",2025,12.5987619,"Industry",1,"Industry"
"NEMS-RHG","IRA",2030,12.5682779,"Industry",1,"Industry"
"NEMS-RHG","IRA",2035,12.4811021,"Industry",1,"Industry"
"RIO-REPEAT","IRA",2025,17.31,"Industry",1,"Industry"
"RIO-REPEAT","IRA",2030,17.16,"Industry",1,"Industry"
"RIO-REPEAT","IRA",2035,17.03,"Industry",1,"Industry"
"EPS-EI","No IRA",2025,17.9396415,"Industry",1,"Industry"
"EPS-EI","No IRA",2030,17.7923341,"Industry",1,"Industry"
"EPS-EI","No IRA",2035,17.7499523,"Industry",1,"Industry"
"GCAM-CGS","No IRA",2025,14.3,"Industry",1,"Industry"
"GCAM-CGS","No IRA",2030,14.7,"Industry",1,"Industry"
"GCAM-CGS","No IRA",2035,16.6,"Industry",1,"Industry"
"NEMS-RHG","No IRA",2025,12.6192722,"Industry",1,"Industry"
"NEMS-RHG","No IRA",2030,12.5068488,"Industry",1,"Industry"
"NEMS-RHG","No IRA",2035,12.4191518,"Industry",1,"Industry"
"RIO-REPEAT","No IRA",2025,17.32,"Industry",1,"Industry"
"RIO-REPEAT","No IRA",2030,17.17,"Industry",1,"Industry"
"RIO-REPEAT","No IRA",2035,17.05,"Industry",1,"Industry"
"GCAM-PNNL","IRA",2025,15.9426748544065,"Industry",1,"Industry"
"GCAM-PNNL","IRA",2030,16.8421131204146,"Industry",1,"Industry"
"GCAM-PNNL","IRA",2035,17.8456890932754,"Industry",1,"Industry"
"OP-NEMS","IRA",2025,14.9086836370806,"Industry",1,"Industry"
"OP-NEMS","IRA",2030,15.702213294058,"Industry",1,"Industry"
"OP-NEMS","IRA",2035,15.5105410950647,"Industry",1,"Industry"
"USREP-ReEDS","IRA",2025,14.1917482959417,"Industry",1,"Industry"
"USREP-ReEDS","IRA",2030,14.2380122498313,"Industry",1,"Industry"
"USREP-ReEDS","IRA",2035,13.7320838627097,"Industry",1,"Industry"
"GCAM-PNNL","No IRA",2025,15.782502938281,"Industry",1,"Industry"
"GCAM-PNNL","No IRA",2030,16.9636440356295,"Industry",1,"Industry"
"GCAM-PNNL","No IRA",2035,18.8048692435155,"Industry",1,"Industry"
"OP-NEMS","No IRA",2025,14.7354503276888,"Industry",1,"Industry"
"OP-NEMS","No IRA",2030,14.4733679543496,"Industry",1,"Industry"
"OP-NEMS","No IRA",2035,14.2041642854303,"Industry",1,"Industry"
"USREP-ReEDS","No IRA",2025,15.0096726056019,"Industry",1,"Industry"
"USREP-ReEDS","No IRA",2030,14.7074978439938,"Industry",1,"Industry"
"USREP-ReEDS","No IRA",2035,14.1643955494656,"Industry",1,"Industry"
