"figure_num","model","scenario","variable","unit","year","label","value"
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2010,"Other Sectors",641
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2010,"Other Sectors",1696.6
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2010,"Other Sectors",4.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2010,"Other Sectors",334.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2011,"Buildings: Direct",550.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2011,"Buildings: Indirect",1529
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2011,"Other Sectors",796.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2011,"Other Sectors",624.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2011,"Other Sectors",1670.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2011,"Other Sectors",4.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2011,"Other Sectors",336.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2012,"Buildings: Direct",482.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2012,"Buildings: Indirect",1426.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2012,"Other Sectors",806.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2012,"Other Sectors",593.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2012,"Other Sectors",1659.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2012,"Other Sectors",4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2012,"Other Sectors",339.6
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2013,"Buildings: Direct",553.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2013,"Buildings: Indirect",1439.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2013,"Other Sectors",834.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2013,"Other Sectors",594.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2013,"Other Sectors",1669
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2013,"Other Sectors",4.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2013,"Other Sectors",357.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2014,"Buildings: Direct",578.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2014,"Buildings: Indirect",1439.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2014,"Other Sectors",813.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2014,"Other Sectors",593
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2014,"Other Sectors",1707.2
