"figure_num","model","scenario","variable","unit","year","label","value","pct_diff"
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Electricity","Mt CO2/yr",2030,"Electricity",616.834498,46.5760592915483
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Electricity","Mt CO2/yr",2035,"Electricity",488.0122266,53.9735895435165
"1.3X.summary_ranges_main","EPS-EI","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1417.94385151708,3.02503102681992
"1.3X.summary_ranges_main","EPS-EI","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1229.5350411901,8.17117788574557
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1396.9307216309,7.15945516756046
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1310.87256817385,3.8442118662915
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1504.76477565588,3.61211821479961
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1283.05267565183,6.81050101783142
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1493.40111677302,1.00493006522915
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1356.21828072744,5.18489309039053
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1657.054932,0.900507331735775
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1592.773071,1.40152237632846
"1.3X.summary_ranges_main","NEMS-OP","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1641.628418,3.50887453710909
"1.3X.summary_ranges_main","NEMS-OP","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1471.571655,8.08941873379686
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1508.59734546816,1.60399406885081
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1387.05900584666,2.55430429259645
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1569.14666069388,1.66204203927099
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1376.14761897839,6.56602546743665
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1583.87483206449,4.7626403990267
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1204.93197278912,16.6792242617583
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Transportation","Mt CO2/yr",2030,"Total Transportation Emissions",1599.23476078,1.36847981827439
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Transportation","Mt CO2/yr",2035,"Total Transportation Emissions",1495.21077201,4.4555399388352
"1.3X.summary_ranges_main","EPS-EI","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",939.539060262288,19.3419637509801
"1.3X.summary_ranges_main","EPS-EI","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",849.980886540497,25.4985040943615
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",1185.5497590578,20.8718961433776
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1174.68798661098,23.3897281173073
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",979.071266002796,9.06161808620449
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",949.082398361937,9.17174434534931
