"model","year","scenario","variable_rename","diff"
"USREP-ReEDS",2025,"IRA","CO2",-0.0476493086020007
"USREP-ReEDS",2030,"IRA","CO2",-2.920102743292
"USREP-ReEDS",2035,"IRA","CO2",-4.841168281082
"EPS-EI",2025,"IRA","CO2",-1.52557244325998
"EPS-EI",2030,"IRA","CO2",-7.10607164151403
"EPS-EI",2035,"IRA","CO2",-9.30033200612164
"GCAM-CGS",2025,"IRA","CO2",-0.331368422004573
"GCAM-CGS",2030,"IRA","CO2",-0.0451176684422556
"GCAM-CGS",2035,"IRA","CO2",-1.43675129884001
"GCAM-PNNL",2025,"IRA","CO2",-4.84742811915919
"GCAM-PNNL",2030,"IRA","CO2",-5.304100712572
"GCAM-PNNL",2035,"IRA","CO2",-6.6470060775343
"MARKAL-NETL",2025,"IRA","CO2",-0.0293394700349303
"MARKAL-NETL",2030,"IRA","CO2",-2.05934280165228
"MARKAL-NETL",2035,"IRA","CO2",-5.53004010970733
"NEMS-RHG",2025,"IRA","CO2",1.376497136039
"NEMS-RHG",2030,"IRA","CO2",-3.28167072248259
"NEMS-RHG",2035,"IRA","CO2",-2.11458780374999
"OP-NEMS",2022,"IRA","CO2",0.001607992516373
"OP-NEMS",2023,"IRA","CO2",-0.120877437433794
"OP-NEMS",2024,"IRA","CO2",-0.540965482334926
"OP-NEMS",2025,"IRA","CO2",-0.921895709477401
"OP-NEMS",2026,"IRA","CO2",-1.24767419329729
"OP-NEMS",2027,"IRA","CO2",-1.69163912707486
"OP-NEMS",2028,"IRA","CO2",-2.26492745897855
"OP-NEMS",2029,"IRA","CO2",-2.65472864483538
"OP-NEMS",2030,"IRA","CO2",-2.92633938075314
"OP-NEMS",2031,"IRA","CO2",-3.10598454468065
"OP-NEMS",2032,"IRA","CO2",-3.31645356515327
"OP-NEMS",2033,"IRA","CO2",-3.62002415232919
"OP-NEMS",2034,"IRA","CO2",-4.23312029896644
"OP-NEMS",2035,"IRA","CO2",-4.35822171674173
"REGEN-EPRI",2025,"IRA","CO2",0.389992955474163
"REGEN-EPRI",2030,"IRA","CO2",0.369993316731897
"REGEN-EPRI",2035,"IRA","CO2",-4.69991510443221
"RIO-REPEAT",2025,"IRA","CO2",-0.0799985549690589
"RIO-REPEAT",2030,"IRA","CO2",-0.53999024604115
"RIO-REPEAT",2035,"IRA","CO2",-0.97998229837097
"AEO.2023",2022,"IRA","CO2",0.000422998031353927
"AEO.2023",2023,"IRA","CO2",-0.0971195480035192
"AEO.2023",2024,"IRA","CO2",0.00460797855436823
"AEO.2023",2025,"IRA","CO2",-0.487609730653752
"AEO.2023",2026,"IRA","CO2",-1.11176382582708
"AEO.2023",2027,"IRA","CO2",-1.83792944623655
"AEO.2023",2028,"IRA","CO2",-2.38326890821488
"AEO.2023",2029,"IRA","CO2",-2.75168119361613
"AEO.2023",2030,"IRA","CO2",-2.9661621954169
"AEO.2023",2031,"IRA","CO2",-2.77400208973419
"AEO.2023",2032,"IRA","CO2",-2.52576024505711
"AEO.2023",2033,"IRA","CO2",-2.79771097939251
"AEO.2023",2034,"IRA","CO2",-3.06235574773002
"AEO.2023",2035,"IRA","CO2",-3.17264023446363
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
