"figure_num","model","scenario","variable","unit","year","label","value"
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2005,"Coal",2012.82933778064
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2006,"Coal",1990.46791224501
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2007,"Coal",2016.41179776576
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2008,"Coal",1985.75812646185
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2009,"Coal",1755.86612464824
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2010,"Coal",1847.25016608886
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2011,"Coal",1733.3923646075
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2012,"Coal",1514.01006846588
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2013,"Coal",1581.08038315372
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2014,"Coal",1581.67600410878
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2015,"Coal",1352.36883042904
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2016,"Coal",1239.12174651936
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2017,"Coal",1205.80909212159
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2018,"Coal",1149.46237846102
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2019,"Coal",964.935858486247
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2020,"Coal",773.376103181723
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Coal|Sum","TWh",2021,"Coal",898.659010735037
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2005,"Natural Gas",760.943730093552
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2006,"Natural Gas",816.423041478544
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2007,"Natural Gas",896.570322201751
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2008,"Natural Gas",882.961425494972
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2009,"Natural Gas",920.958682611638
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2010,"Natural Gas",987.675786636073
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2011,"Natural Gas",1013.66691724201
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2012,"Natural Gas",1225.86755544353
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2013,"Natural Gas",1124.81113487072
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2014,"Natural Gas",1126.61065190555
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2015,"Natural Gas",1334.63902154067
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2016,"Natural Gas",1379.24097190394
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2017,"Natural Gas",1297.67434922378
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2018,"Natural Gas",1471.8110709228
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2019,"Natural Gas",1588.4983459625
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2020,"Natural Gas",1626.75431523904
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Gas|Sum","TWh",2021,"Natural Gas",1575.19560288541
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2005,"Nuclear",781.969384635276
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2006,"Nuclear",787.201542130759
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2007,"Nuclear",806.407242025898
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2008,"Nuclear",806.190928667559
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2009,"Nuclear",798.837238351999
