"model","scenario","unit","datasrc","variable","region","figure_type","figure_no","title_name","variable_rename","flip_sign","regions","models","years","scenarios","type","x","y","facet1","facet2","color","page_filter","scales","alpha","year","value"
"EPS-EI","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"GCAM-CGS","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"GCAM-CGS","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"GCAM-PNNL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"GCAM-PNNL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"MARKAL-NETL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"MARKAL-NETL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"NEMS-EIA","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"NEMS-EIA","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"NEMS-OP","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"NEMS-OP","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
