"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Natural Gas",-15.671179965441,"E.15.GasNoCCSGen"
"USREP-ReEDS",2030,"IRA","Natural Gas",-36.5606515576638,"E.15.GasNoCCSGen"
"USREP-ReEDS",2035,"IRA","Natural Gas",-50.2818686000818,"E.15.GasNoCCSGen"
"EPS-EI",2025,"IRA","Natural Gas",-7.19224061504076,"E.15.GasNoCCSGen"
"EPS-EI",2030,"IRA","Natural Gas",-43.3652728405138,"E.15.GasNoCCSGen"
"EPS-EI",2035,"IRA","Natural Gas",-61.033662038321,"E.15.GasNoCCSGen"
"GCAM-CGS",2025,"IRA","Natural Gas",-13.3941630996729,"E.15.GasNoCCSGen"
"GCAM-CGS",2030,"IRA","Natural Gas",-21.8060398476565,"E.15.GasNoCCSGen"
"GCAM-CGS",2035,"IRA","Natural Gas",-35.5686802303304,"E.15.GasNoCCSGen"
"GCAM-PNNL",2025,"IRA","Natural Gas",-13.0170983835058,"E.15.GasNoCCSGen"
"GCAM-PNNL",2030,"IRA","Natural Gas",-24.1325793548445,"E.15.GasNoCCSGen"
"GCAM-PNNL",2035,"IRA","Natural Gas",-33.1663534873439,"E.15.GasNoCCSGen"
"Haiku-RFF",2025,"IRA","Natural Gas",-16.3756769086229,"E.15.GasNoCCSGen"
"Haiku-RFF",2030,"IRA","Natural Gas",-29.4111846715393,"E.15.GasNoCCSGen"
"Haiku-RFF",2035,"IRA","Natural Gas",-30.7985088859142,"E.15.GasNoCCSGen"
"IPM-NRDC",2025,"IRA","Natural Gas",5.09489274523873,"E.15.GasNoCCSGen"
"IPM-NRDC",2030,"IRA","Natural Gas",-15.0203542045781,"E.15.GasNoCCSGen"
"IPM-NRDC",2035,"IRA","Natural Gas",-19.6142356656889,"E.15.GasNoCCSGen"
"IPM-EPA",2030,"IRA","Natural Gas",-2.05774896408614,"E.15.GasNoCCSGen"
"IPM-EPA",2035,"IRA","Natural Gas",-28.7522211034547,"E.15.GasNoCCSGen"
"MARKAL-NETL",2025,"IRA","Natural Gas",0.300597630221167,"E.15.GasNoCCSGen"
"MARKAL-NETL",2030,"IRA","Natural Gas",6.85398191752902,"E.15.GasNoCCSGen"
"MARKAL-NETL",2035,"IRA","Natural Gas",-29.2965476241263,"E.15.GasNoCCSGen"
"NEMS-RHG",2025,"IRA","Natural Gas",16.5051479086612,"E.15.GasNoCCSGen"
"NEMS-RHG",2030,"IRA","Natural Gas",-34.8192935299983,"E.15.GasNoCCSGen"
"NEMS-RHG",2035,"IRA","Natural Gas",-20.0645154036631,"E.15.GasNoCCSGen"
"NEMS-OP",2022,"IRA","Natural Gas",0.171112404186946,"E.15.GasNoCCSGen"
"NEMS-OP",2023,"IRA","Natural Gas",-1.08390473596132,"E.15.GasNoCCSGen"
"NEMS-OP",2024,"IRA","Natural Gas",-4.73769965326498,"E.15.GasNoCCSGen"
"NEMS-OP",2025,"IRA","Natural Gas",-6.65169515231838,"E.15.GasNoCCSGen"
"NEMS-OP",2026,"IRA","Natural Gas",-8.33246223536707,"E.15.GasNoCCSGen"
"NEMS-OP",2027,"IRA","Natural Gas",-11.4839780970959,"E.15.GasNoCCSGen"
"NEMS-OP",2028,"IRA","Natural Gas",-18.2242964467488,"E.15.GasNoCCSGen"
"NEMS-OP",2029,"IRA","Natural Gas",-24.3019287123959,"E.15.GasNoCCSGen"
"NEMS-OP",2030,"IRA","Natural Gas",-28.6757507725821,"E.15.GasNoCCSGen"
"NEMS-OP",2031,"IRA","Natural Gas",-30.2717169748512,"E.15.GasNoCCSGen"
"NEMS-OP",2032,"IRA","Natural Gas",-31.7667394843358,"E.15.GasNoCCSGen"
"NEMS-OP",2033,"IRA","Natural Gas",-38.6580591861347,"E.15.GasNoCCSGen"
"NEMS-OP",2034,"IRA","Natural Gas",-43.2985064365801,"E.15.GasNoCCSGen"
"NEMS-OP",2035,"IRA","Natural Gas",-45.7065935486929,"E.15.GasNoCCSGen"
"REGEN-EPRI",2025,"IRA","Natural Gas",-1.1429325454592,"E.15.GasNoCCSGen"
"REGEN-EPRI",2030,"IRA","Natural Gas",10.9851851884066,"E.15.GasNoCCSGen"
"REGEN-EPRI",2035,"IRA","Natural Gas",-36.1600851717138,"E.15.GasNoCCSGen"
"RIO-REPEAT",2025,"IRA","Natural Gas",4.55198850023957,"E.15.GasNoCCSGen"
"RIO-REPEAT",2030,"IRA","Natural Gas",-16.4609053497942,"E.15.GasNoCCSGen"
"RIO-REPEAT",2035,"IRA","Natural Gas",-46.8973747016706,"E.15.GasNoCCSGen"
"ReEDS-NREL",2025,"IRA","Natural Gas",-8.23012199175742,"E.15.GasNoCCSGen"
"ReEDS-NREL",2030,"IRA","Natural Gas",-43.8458305849196,"E.15.GasNoCCSGen"
"ReEDS-NREL",2035,"IRA","Natural Gas",-60.0877125272149,"E.15.GasNoCCSGen"
"USREP-ReEDS",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"EPS-EI",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"GCAM-CGS",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"GCAM-PNNL",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"Haiku-RFF",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"IPM-NRDC",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"IPM-EPA",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"MARKAL-NETL",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"NEMS-RHG",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"NEMS-OP",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"REGEN-EPRI",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"RIO-REPEAT",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
"ReEDS-NREL",2021,"Historic","Natural Gas",0,"E.15.GasNoCCSGen"
