"model","scenario","unit","year","variable","region","value","figure_num"
"EPS-EI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3347.003485,1.5
"EPS-EI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2796.936628,1.5
"EPS-EI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3067.009458,1.5
"EPS-EI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2741.965576,1.5
"EPS-EI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3433.919429,1.5
"EPS-EI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2882.332415,1.5
"GCAM-CGS","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3507.390591,1.5
"GCAM-CGS","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3238.489396,1.5
"GCAM-CGS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3400.119301,1.5
"GCAM-CGS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3192.551382,1.5
"GCAM-CGS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3598.966026,1.5
"GCAM-CGS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3254.084821,1.5
"REGEN-EPRI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3920.614514,1.5
"REGEN-EPRI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3158.192152,1.5
"REGEN-EPRI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3983.367536,1.5
"REGEN-EPRI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2967.367261,1.5
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",4076.569421,1.5
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3609.048703,1.5
"RIO-REPEAT","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3587,1.5
"RIO-REPEAT","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2653,1.5
"RIO-REPEAT","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3464,1.5
"RIO-REPEAT","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2476,1.5
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3629,1.5
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2877,1.5
"USREP-ReEDS","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3493.680895,1.5
"USREP-ReEDS","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3231.66939,1.5
"USREP-ReEDS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3477.093537,1.5
"USREP-ReEDS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3208.064153,1.5
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3589.719854,1.5
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3344.497042,1.5
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3653.189,1.5
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3359.705,1.5
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3562.05186279221,1.5
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3243.89835548928,1.5
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3465.93,1.5
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3119.699,1.5
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3345.498,1.5
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2968.022,1.5
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3562.05186279221,1.5
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3243.89835548928,1.5
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3611.28,1.5
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3334.912,1.5
"USREP-ReEDS","All Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3325.313438,1.5
"USREP-ReEDS","All Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2947.398068,1.5
"USREP-ReEDS","Constr","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3714.214007,1.5
"USREP-ReEDS","Constr","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3492.97627,1.5
"USREP-ReEDS","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3493.680895,1.5
"USREP-ReEDS","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3231.66939,1.5
"NEMS-OP","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3800.13916,1.5
"NEMS-OP","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3399.508301,1.5
"NEMS-OP","Opt-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3388.727051,1.5
"NEMS-OP","Opt-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2966.078857,1.5
"USREP-ReEDS","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3493.680895,1.5
"USREP-ReEDS","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3231.66939,1.5
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3294.518897,1.5
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2984.003895,1.5
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3391.754436,1.5
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3028.01331,1.5
