"model","year","variable_rename","value_ira","value_noira","diff"
"EPS-EI",2030,"Biomass w/o CCS",0.0424817326184488,22.036501937021,-21.9940202044025
"EPS-EI",2030,"Coal w/o CCS",188.611934062726,434.363153750561,-245.751219687836
"EPS-EI",2030,"Gas w/o CCS",1007.50680059796,1778.9558652958,-771.449064697849
"EPS-EI",2030,"Hydro",282.50689685172,282.50689685172,0
"EPS-EI",2030,"Nuclear",802.278507800933,693.008181638327,109.270326162606
"EPS-EI",2030,"Solar",1072.57854709934,538.026281200488,534.552265898852
"EPS-EI",2030,"Wind",1598.24672958962,733.775445226603,864.471284363013
"EPS-EI",2035,"Biomass w/o CCS",0.025277321173286,22.5906919262435,-22.5654146050702
"EPS-EI",2035,"Coal w/o CCS",18.0534358307777,407.821633191299,-389.768197360521
"EPS-EI",2035,"Gas w/o CCS",712.324132718836,1828.04997846953,-1115.72584575069
"EPS-EI",2035,"Hydro",280.652930341402,282.452897827148,-1.79996748574609
"EPS-EI",2035,"Nuclear",41.4337015498731,636.349205114786,-594.915503564913
"EPS-EI",2035,"Solar",1678.62773760311,737.705674231729,940.922063371378
"EPS-EI",2035,"Wind",2577.92233292477,890.61871204109,1687.30362088368
"GCAM-CGS",2030,"Biomass w/o CCS",41.3067052327982,45.5946244433468,-4.28791921054865
"GCAM-CGS",2030,"Coal w/ CCS",0.0210273979430522,1.36329842920444,-1.34227103126139
"GCAM-CGS",2030,"Coal w/o CCS",219.440513292526,737.34462908691,-517.904115794384
"GCAM-CGS",2030,"Gas w/ CCS",449.124880708779,2.08092324395059,447.043957464828
"GCAM-CGS",2030,"Gas w/o CCS",1242.25718066943,1588.68687311029,-346.429692440859
"GCAM-CGS",2030,"Hydro",296.177488242215,300.309158330773,-4.1316700885572
"GCAM-CGS",2030,"Nuclear",738.3104310853,788.657479959577,-50.347048874277
"GCAM-CGS",2030,"Solar",921.877250448638,599.088183468233,322.789066980405
"GCAM-CGS",2030,"Wind",1131.87347267429,576.453998994297,555.419473679992
"GCAM-CGS",2035,"Biomass w/o CCS",39.0689128780555,44.7467483703224,-5.67783549226684
"GCAM-CGS",2035,"Coal w/ CCS",0,0,0
"GCAM-CGS",2035,"Coal w/o CCS",0.0043332550582776,684.034231797524,-684.029898542466
"GCAM-CGS",2035,"Gas w/ CCS",456.568384584142,0,456.568384584142
"GCAM-CGS",2035,"Gas w/o CCS",1191.10561688331,1848.64382896632,-657.53821208301
"GCAM-CGS",2035,"Hydro",288.849691165637,294.155981424978,-5.30629025934144
"GCAM-CGS",2035,"Nuclear",760.081711979887,788.457204132875,-28.3754921529874
"GCAM-CGS",2035,"Solar",1210.43817988596,724.768834031343,485.669345854622
"GCAM-CGS",2035,"Wind",1250.65574923714,617.928972298645,632.726776938496
"GCAM-PNNL",2030,"Biomass w/o CCS",47.135759660143,45.1259904086587,2.00976925148436
"GCAM-PNNL",2030,"Coal w/ CCS",157.219382242636,0,157.219382242636
"GCAM-PNNL",2030,"Coal w/o CCS",218.884934995048,477.846923823961,-258.961988828913
"GCAM-PNNL",2030,"Gas w/ CCS",156.663836722344,0,156.663836722344
"GCAM-PNNL",2030,"Gas w/o CCS",1413.53835501377,1863.1691218621,-449.63076684833
"GCAM-PNNL",2030,"Geothermal",75.0219781512723,61.0436195424451,13.9783586088271
"GCAM-PNNL",2030,"Hydro",258.007006079531,258.007006079531,0
"GCAM-PNNL",2030,"Nuclear",782.274758033571,782.274758033571,0
"GCAM-PNNL",2030,"Oil",16.9910264108186,18.3763347202188,-1.38530830940013
"GCAM-PNNL",2030,"Solar",822.329868624925,677.929142911966,144.400725712959
"GCAM-PNNL",2030,"Wind",1641.69972605224,1223.2212373087,418.47848874354
"GCAM-PNNL",2035,"Biomass w/o CCS",65.4284292250058,66.6453239099294,-1.21689468492362
"GCAM-PNNL",2035,"Coal w/ CCS",209.996206670376,0,209.996206670376
"GCAM-PNNL",2035,"Coal w/o CCS",212.640047801446,411.778672823235,-199.138625021789
"GCAM-PNNL",2035,"Gas w/ CCS",228.051436079866,0,228.051436079866
"GCAM-PNNL",2035,"Gas w/o CCS",1259.65224589289,1884.75762078065,-625.105374887761
"GCAM-PNNL",2035,"Geothermal",89.5919927392104,73.9653305716769,15.6266621675335
"GCAM-PNNL",2035,"Hydro",260.338075082676,260.338075082676,0
"GCAM-PNNL",2035,"Nuclear",782.274758033571,782.274758033571,0
"GCAM-PNNL",2035,"Oil",22.5537314827785,25.7522570385836,-3.19852555580518
"GCAM-PNNL",2035,"Solar",1035.92662414459,894.725782296236,141.200841848357
"GCAM-PNNL",2035,"Wind",2054.11760955112,1600.99774656246,453.119862988659
"Haiku-RFF",2030,"Biomass w/o CCS",41.8108902919664,44.5822516195367,-2.77136132757021
"Haiku-RFF",2030,"Coal w/ CCS",5.24593884951728,0,5.24593884951728
