"model","year","variable_rename","value_ira","value_noira","diff"
"Haiku-RFF",2030,"Coal w/o CCS",562.278664499158,873.090478389832,-310.811813890674
"Haiku-RFF",2030,"Gas w/o CCS",712.879702960904,1009.904613951,-297.024910990095
"Haiku-RFF",2030,"Hydro",292.250570566163,292.250570566163,0
"Haiku-RFF",2030,"Nuclear",704.976853771952,704.976853771952,0
"Haiku-RFF",2030,"Solar",742.127749630018,449.287259997814,292.840489632204
"Haiku-RFF",2030,"Wind",1153.69971174279,837.605076891052,316.094634851738
"Haiku-RFF",2035,"Biomass w/o CCS",45.2597666032632,47.2030415003328,-1.94327489706956
"Haiku-RFF",2035,"Coal w/ CCS",5.8578800177562,0,5.8578800177562
"Haiku-RFF",2035,"Coal w/o CCS",499.941588599229,793.533109387178,-293.591520787949
"Haiku-RFF",2035,"Gas w/o CCS",667.110192787769,964.011297958713,-296.901105170943
"Haiku-RFF",2035,"Hydro",291.719952928912,291.719952928912,0
"Haiku-RFF",2035,"Nuclear",559.284986354142,559.284986354142,0
"Haiku-RFF",2035,"Solar",849.029487467221,627.757225874142,221.272261593078
"Haiku-RFF",2035,"Wind",1308.69525887856,933.982840109013,374.712418769549
"IPM-EPA",2030,"Biomass w/o CCS",38.4138308224383,37.7478542413954,0.665976581042891
"IPM-EPA",2030,"Coal w/ CCS",65.8547062470449,3.78669743118564,62.0680088158592
"IPM-EPA",2030,"Coal w/o CCS",242.783244134088,554.070012223061,-311.286768088973
"IPM-EPA",2030,"Gas w/ CCS",49.5441655996226,24.402361422829,25.1418041767936
"IPM-EPA",2030,"Gas w/o CCS",77.7925981033457,131.864374972656,-54.0717768693105
"IPM-EPA",2030,"Gas w/o CCS",77.7925981033457,1659.28052375399,-1581.48792565064
"IPM-EPA",2030,"Gas w/o CCS",1676.49503529448,131.864374972656,1544.63066032183
"IPM-EPA",2030,"Gas w/o CCS",1676.49503529448,1659.28052375399,17.2145115404946
"IPM-EPA",2030,"Hydro",302.74686151881,304.925014950859,-2.1781534320483
"IPM-EPA",2030,"Nuclear",733.71633990538,628.470695208397,105.245644696984
"IPM-EPA",2030,"Solar",102.884341795533,102.884341795533,0
"IPM-EPA",2030,"Solar",102.884341795533,348.854951131469,-245.970609335936
"IPM-EPA",2030,"Solar",386.067266713395,102.884341795533,283.182924917862
"IPM-EPA",2030,"Solar",386.067266713395,348.854951131469,37.2123155819257
"IPM-EPA",2030,"Wind",844.081903506058,712.337556920789,131.744346585269
"IPM-EPA",2035,"Biomass w/o CCS",37.1896129364662,38.9014195147334,-1.71180657826714
"IPM-EPA",2035,"Coal w/ CCS",75.2380545258895,3.78669743118564,71.4513570947039
"IPM-EPA",2035,"Coal w/o CCS",44.3796597235607,465.895141385244,-421.515481661683
"IPM-EPA",2035,"Gas w/ CCS",77.1585762228572,24.402361422829,52.7562148000282
"IPM-EPA",2035,"Gas w/o CCS",60.5071581218662,146.531275032697,-86.0241169108305
"IPM-EPA",2035,"Gas w/o CCS",60.5071581218662,1736.27295242255,-1675.76579430068
"IPM-EPA",2035,"Gas w/o CCS",1280.94903508082,146.531275032697,1134.41776004812
"IPM-EPA",2035,"Gas w/o CCS",1280.94903508082,1736.27295242255,-455.323917341728
"IPM-EPA",2035,"Hydro",328.647411711989,324.506154296616,4.14125741537367
"IPM-EPA",2035,"Nuclear",660.335219058433,486.512353960025,173.822865098408
"IPM-EPA",2035,"Solar",131.213286456012,131.213286456012,0
"IPM-EPA",2035,"Solar",131.213286456012,529.809287130631,-398.596000674619
"IPM-EPA",2035,"Solar",642.716839257779,131.213286456012,511.503552801767
"IPM-EPA",2035,"Solar",642.716839257779,529.809287130631,112.907552127148
"IPM-EPA",2035,"Wind",1500.27211382799,919.444573280923,580.827540547069
"IPM-NRDC",2030,"Biomass w/o CCS",40.3484239318895,41.7797483545082,-1.43132442261868
"IPM-NRDC",2030,"Coal w/ CCS",135.279879109004,16.9673121169667,118.312566992037
"IPM-NRDC",2030,"Coal w/o CCS",198.300770434405,361.752485652976,-163.451715218571
"IPM-NRDC",2030,"Gas w/o CCS",1649.93089764377,1941.56010193417,-291.629204290399
"IPM-NRDC",2030,"Hydro",319.548791900978,313.158462056844,6.39032984413319
"IPM-NRDC",2030,"Nuclear",677.937218043876,509.532574516237,168.404643527639
"IPM-NRDC",2030,"Solar",369.653587095721,333.049870797957,36.6037162977642
"IPM-NRDC",2030,"Wind",890.310027894877,765.785776442804,124.524251452073
"IPM-NRDC",2035,"Biomass w/o CCS",40.3418684947501,42.4549944903299,-2.11312599557984
"IPM-NRDC",2035,"Coal w/ CCS",135.279879109004,16.9673121169667,118.312566992037
"IPM-NRDC",2035,"Coal w/o CCS",143.308880185839,333.594456238452,-190.285576052612
"IPM-NRDC",2035,"Gas w/o CCS",1653.96847776528,2057.53903274721,-403.570554981928
"IPM-NRDC",2035,"Hydro",316.090086878336,310.642459449858,5.44762742847723
"IPM-NRDC",2035,"Nuclear",75.8055703855072,67.8447177998728,7.96085258563441
"IPM-NRDC",2035,"Solar",683.148521963476,574.087243135792,109.061278827685
"IPM-NRDC",2035,"Wind",1368.21605537342,991.666367014168,376.549688359256
"MARKAL-NETL",2030,"Biomass w/o CCS",25.6940008686893,10.6470385073517,15.0469623613375
"MARKAL-NETL",2030,"Coal w/ CCS",133.797690049638,0,133.797690049638
"MARKAL-NETL",2030,"Coal w/o CCS",514.774446494773,669.638439618022,-154.863993123249
"MARKAL-NETL",2030,"Gas w/ CCS",96.9705480655687,0,96.9705480655687
"MARKAL-NETL",2030,"Gas w/o CCS",2021.25954975923,1891.60901035184,129.650539407385
"MARKAL-NETL",2030,"Hydro",286.486720794307,286.486720794307,0
"MARKAL-NETL",2030,"Nuclear",797.502898788805,797.502898788805,0
"MARKAL-NETL",2030,"Solar",476.152890813524,516.521638544956,-40.3687477314312
"MARKAL-NETL",2030,"Wind",602.147937919661,650.085999198298,-47.9380612786375
"MARKAL-NETL",2035,"Biomass w/o CCS",9.02206647163385,10.8137021634393,-1.7916356918055
"MARKAL-NETL",2035,"Coal w/ CCS",1285.9333556006,0,1285.9333556006
"MARKAL-NETL",2035,"Coal w/o CCS",203.288157009915,684.352074389412,-481.063917379497
"MARKAL-NETL",2035,"Gas w/ CCS",96.9705480655687,0,96.9705480655687
"MARKAL-NETL",2035,"Gas w/o CCS",1427.12258463095,2018.46237584238,-591.339791211424
"MARKAL-NETL",2035,"Hydro",286.486720794307,286.486720794307,0
"MARKAL-NETL",2035,"Nuclear",797.502898788805,797.502898788805,0
"MARKAL-NETL",2035,"Solar",497.796961783785,538.165709237443,-40.3687474536583
"MARKAL-NETL",2035,"Wind",602.147937919661,666.844043428772,-64.696105509111
"NEMS-EIA",2030,"Biomass w/ CCS",0.0927223250823997,0,0.0927223250823997
"NEMS-EIA",2030,"Biomass w/o CCS",38.4960586148696,38.8971173702242,-0.401058755354576
"NEMS-EIA",2030,"Coal w/ CCS",2.15357100061204,0,2.15357100061204
"NEMS-EIA",2030,"Coal w/o CCS",350.491151895397,611.138679512696,-260.647527617299
"NEMS-EIA",2030,"Gas w/ CCS",0.667223947399595,0,0.667223947399595
"NEMS-EIA",2030,"Gas w/o CCS",1152.99907045459,1570.52961326608,-417.53054281149
"NEMS-EIA",2030,"Geothermal",20.9234480430047,24.9968454619656,-4.07339741896088
"NEMS-EIA",2030,"Hydro",295.679411906034,300.537723146468,-4.85831124043403
"NEMS-EIA",2030,"Nuclear",758.002909586515,765.523402737826,-7.52049315131069
"NEMS-EIA",2030,"Oil",7.46601113546286,8.53751178008877,-1.07150064462591
"NEMS-EIA",2030,"Solar",921.119469081494,569.470365200821,351.649103880673
"NEMS-EIA",2030,"Wind",978.425257921146,596.857260489403,381.567997431743
"NEMS-EIA",2035,"Biomass w/ CCS",0.125988724164797,0,0.125988724164797
"NEMS-EIA",2035,"Biomass w/o CCS",39.5266459985445,39.9656400686432,-0.438994070098609
"NEMS-EIA",2035,"Coal w/ CCS",3.37783771047306,0,3.37783771047306
"NEMS-EIA",2035,"Coal w/o CCS",343.14352079677,574.569821085267,-231.426300288496
"NEMS-EIA",2035,"Gas w/ CCS",0.317634262317992,0,0.317634262317992
"NEMS-EIA",2035,"Gas w/o CCS",1038.63747525965,1499.73987699777,-461.102401738115
"NEMS-EIA",2035,"Geothermal",23.8110708815613,31.2997256079948,-7.48865472643355
"NEMS-EIA",2035,"Hydro",291.730265242632,298.984833197562,-7.25456795493028
"NEMS-EIA",2035,"Nuclear",700.337813237323,747.185110997073,-46.8472977597502
"NEMS-EIA",2035,"Oil",7.09295487427681,8.03066093574141,-0.937706061464596
"NEMS-EIA",2035,"Solar",1150.40072839052,804.433893866469,345.966834524054
"NEMS-EIA",2035,"Wind",1135.01855925096,671.93891222941,463.079647021551
"NEMS-OP",2030,"Biomass w/o CCS",38.562818408934,37.4215390247774,1.14127938415668
"NEMS-OP",2030,"Coal w/ CCS",3.03521724361926,0,3.03521724361926
"NEMS-OP",2030,"Coal w/o CCS",295.460641786675,539.278588579057,-243.817946792382
"NEMS-OP",2030,"Gas w/ CCS",10.0687251205562,0,10.0687251205562
"NEMS-OP",2030,"Gas w/o CCS",1030.76305950153,1456.36578249877,-425.602722997237
"NEMS-OP",2030,"Geothermal",23.4797868658097,21.7560080038075,1.7237788620022
"NEMS-OP",2030,"Hydro",297.285919886394,298.932619140747,-1.64669925435282
"NEMS-OP",2030,"Nuclear",780.129950888051,664.813918933869,115.316031954182
"NEMS-OP",2030,"Oil",7.06471438440739,8.10932051485045,-1.04460613044306
"NEMS-OP",2030,"Solar",1157.79402683945,775.980367845292,381.813658994161
"NEMS-OP",2030,"Wind",939.329956130886,675.432867115306,263.89708901558
"NEMS-OP",2035,"Biomass w/o CCS",37.5447857984722,36.367454065558,1.17733173291423
"NEMS-OP",2035,"Coal w/ CCS",3.78786155140361,0,3.78786155140361
"NEMS-OP",2035,"Coal w/o CCS",145.221638770681,473.257992161952,-328.036353391271
"NEMS-OP",2035,"Gas w/ CCS",10.1487146756408,0,10.1487146756408
"NEMS-OP",2035,"Gas w/o CCS",813.155810315508,1427.36752731747,-614.21171700196
"NEMS-OP",2035,"Geothermal",28.3587427333233,25.9449483356242,2.41379439769909
"NEMS-OP",2035,"Hydro",289.994181602901,292.728934202875,-2.73475259997406
"NEMS-OP",2035,"Nuclear",721.886495986212,597.678290658478,124.208205327734
"NEMS-OP",2035,"Oil",6.22421656699245,7.53487889144944,-1.31066232445699
"NEMS-OP",2035,"Solar",1640.9415493589,1083.42549721775,557.51605214115
"NEMS-OP",2035,"Wind",1210.60349789969,774.505357489585,436.098140410108
"NEMS-RHG",2030,"Biomass w/o CCS",60.583221747868,56.8818074983662,3.70141424950182
"NEMS-RHG",2030,"Coal w/o CCS",137.585572737191,485.200097386588,-347.614524649397
"NEMS-RHG",2030,"Gas w/o CCS",821.172534558555,1259.83988055905,-438.66734600049
"NEMS-RHG",2030,"Hydro",285.105719907099,296.673015957768,-11.5672960506695
"NEMS-RHG",2030,"Nuclear",754.850317589864,679.109924638116,75.7403929517483
"NEMS-RHG",2030,"Solar",1004.13162351093,704.187336644743,299.944286866182
"NEMS-RHG",2030,"Wind",1232.70884259315,779.58146779574,453.127374797412
"NEMS-RHG",2035,"Biomass w/o CCS",70.4785968886725,65.6267134210174,4.85188346765516
"NEMS-RHG",2035,"Coal w/o CCS",204.839622873434,446.343652337223,-241.504029463789
"NEMS-RHG",2035,"Gas w/o CCS",947.131735089994,1184.87019868533,-237.738463595332
"NEMS-RHG",2035,"Hydro",259.537059829834,293.199171764153,-33.662111934319
"NEMS-RHG",2035,"Nuclear",186.504077138633,624.699225557695,-438.195148419062
"NEMS-RHG",2035,"Solar",1409.18026873737,1011.67423226274,397.506036474627
"NEMS-RHG",2035,"Wind",1483.28729313841,818.233442649726,665.053850488682
"REGEN-EPRI",2030,"Biomass w/ CCS",5.06885065951416,2.8055048774746e-07,5.06885037896367
"REGEN-EPRI",2030,"Biomass w/o CCS",56.5623021587358,58.6563632209231,-2.09406106218723
"REGEN-EPRI",2030,"Coal w/ CCS",176.440098932329,5.9443370671244e-07,176.440098337896
"REGEN-EPRI",2030,"Coal w/o CCS",464.649707771397,668.242608998695,-203.592901227298
"REGEN-EPRI",2030,"Gas w/ CCS",0.558430190406116,2.62773031098116e-06,0.558427562675805
"REGEN-EPRI",2030,"Gas w/o CCS",1322.60357958587,1191.69380792501,130.909771660865
"REGEN-EPRI",2030,"Hydro",277.423349791012,258.5462993934,18.8770503976128
"REGEN-EPRI",2030,"Hydrogen",0.194375099958045,3.2221640176936e-07,0.194374777741644
"REGEN-EPRI",2030,"Nuclear",781.930816190912,779.189040995571,2.74177519534146
"REGEN-EPRI",2030,"Solar",548.521054402774,527.004999175619,21.5160552271554
"REGEN-EPRI",2030,"Wind",627.43064955113,630.906850091069,-3.47620053993955
"REGEN-EPRI",2035,"Biomass w/ CCS",5.06434240761699,3.50283422550068,1.5615081821163
"REGEN-EPRI",2035,"Biomass w/o CCS",56.5240236835239,57.4404624069353,-0.916438723411339
"REGEN-EPRI",2035,"Coal w/ CCS",176.274395258901,1.2638660586643e-06,176.274393995035
"REGEN-EPRI",2035,"Coal w/o CCS",150.989817827802,594.478298684717,-443.488480856916
"REGEN-EPRI",2035,"Gas w/ CCS",0.560972366706972,3.0277230855914e-06,0.560969338983887
"REGEN-EPRI",2035,"Gas w/o CCS",871.88563209838,1365.73746125736,-493.851829158985
"REGEN-EPRI",2035,"Hydro",305.913797923013,276.185339098635,29.7284588243782
"REGEN-EPRI",2035,"Hydrogen",0.0104720330575042,1.91940977260886e-07,0.0104718411165269
"REGEN-EPRI",2035,"Nuclear",761.35832253056,782.688576947318,-21.3302544167576
"REGEN-EPRI",2035,"Solar",896.196129069519,578.446611889024,317.749517180495
"REGEN-EPRI",2035,"Wind",1367.98572286744,643.989060721069,723.996662146369
"RIO-REPEAT",2030,"Biomass w/o CCS",39.999277461024,40.9992593975496,-0.999981936525607
"RIO-REPEAT",2030,"Coal w/o CCS",479.991329532288,653.988186487742,-173.996856955454
"RIO-REPEAT",2030,"Gas w/ CCS",4.999909682628,3.9999277461024,0.9999819365256
"RIO-REPEAT",2030,"Gas w/o CCS",806.985422776159,971.982442302883,-164.997019526724
"RIO-REPEAT",2030,"Hydro",295.994653211578,303.994508703782,-7.99985549220474
"RIO-REPEAT",2030,"Nuclear",793.985657601326,794.985639537852,-0.999981936525614
"RIO-REPEAT",2030,"Solar",947.982875826269,746.986506584623,200.996369241646
"RIO-REPEAT",2030,"Wind",1736.96862374497,1094.98022049553,641.988403249435
"RIO-REPEAT",2035,"Biomass w/o CCS",30.9994400322936,39.999277461024,-8.9998374287304
"RIO-REPEAT",2035,"Coal w/o CCS",234.995755083516,492.991094707121,-257.995339623605
"RIO-REPEAT",2035,"Gas w/ CCS",1.9999638730512,2.9999458095768,-0.999981936525601
"RIO-REPEAT",2035,"Gas w/o CCS",442.991997880841,837.984862808453,-394.992864927612
"RIO-REPEAT",2035,"Hydro",272.995068671489,298.994599021154,-25.9995303496656
"RIO-REPEAT",2035,"Nuclear",787.985765982173,788.985747918698,-0.999981936525387
"RIO-REPEAT",2035,"Solar",2122.96165124385,1284.9767884354,837.984862808453
"RIO-REPEAT",2035,"Wind",2374.9570992483,1393.97481951669,980.982279731614
"ReEDS-NREL",2030,"Biomass w/o CCS",16.1483482994548,17.5386904068143,-1.3903421073595
"ReEDS-NREL",2030,"Coal w/ CCS",269.384440837595,0,269.384440837595
"ReEDS-NREL",2030,"Coal w/o CCS",72.0564686640891,696.413423737823,-624.356955073734
"ReEDS-NREL",2030,"Gas w/o CCS",731.778380190076,1303.15947665361,-571.381096463531
"ReEDS-NREL",2030,"Hydro",302.8022319075,302.319752845127,0.482479062372192
"ReEDS-NREL",2030,"Nuclear",738.383911980178,762.482535000788,-24.09862302061
"ReEDS-NREL",2030,"Solar",996.236368629236,504.387027186601,491.849341442635
"ReEDS-NREL",2030,"Wind",1273.87607978972,686.121359651618,587.7547201381
"ReEDS-NREL",2035,"Biomass w/o CCS",15.4742957531834,16.4029137010361,-0.92861794785269
"ReEDS-NREL",2035,"Coal w/ CCS",290.122006516119,0,290.122006516119
"ReEDS-NREL",2035,"Coal w/o CCS",62.4417795641389,637.858233133783,-575.416453569644
"ReEDS-NREL",2035,"Gas w/o CCS",517.103265816334,1295.59917127701,-778.495905460677
"ReEDS-NREL",2035,"Hydro",302.033290797498,303.647598025863,-1.61430722836485
"ReEDS-NREL",2035,"Nuclear",722.816672628131,762.482535000788,-39.6658623726565
"ReEDS-NREL",2035,"Solar",1275.43535801212,589.236194488154,686.199163523962
"ReEDS-NREL",2035,"Wind",1574.74714685917,831.296511125505,743.450635733667
"USREP-ReEDS",2030,"Biomass w/ CCS",0,0,0
"USREP-ReEDS",2030,"Biomass w/o CCS",18.9028774310784,24.4711015700096,-5.56822413893115
"USREP-ReEDS",2030,"Coal w/ CCS",1.02220375733728e-08,9.4720511209786e-09,7.49986452394198e-10
"USREP-ReEDS",2030,"Coal w/o CCS",267.69816713144,599.991477706861,-332.293310575421
"USREP-ReEDS",2030,"Gas w/ CCS",2.8888367055184e-08,2.04996296987748e-08,8.38873735640920e-09
"USREP-ReEDS",2030,"Gas w/o CCS",860.550431299632,1356.49317407766,-495.942742778027
"USREP-ReEDS",2030,"Geothermal",3.27743551928021,5.10681330709779,-1.82937778781758
"USREP-ReEDS",2030,"Hydro",302.287975641367,300.677255014881,1.61072062648589
"USREP-ReEDS",2030,"Nuclear",746.513114580326,762.482535000788,-15.9694204204611
"USREP-ReEDS",2030,"Solar",726.869658304694,536.689688955535,190.17996934916
"USREP-ReEDS",2030,"Wind",1360.75489126152,664.57814130402,696.176749957496
"USREP-ReEDS",2035,"Biomass w/ CCS",0,0,0
"USREP-ReEDS",2035,"Biomass w/o CCS",18.2383411017969,23.5262441932805,-5.28790309148357
"USREP-ReEDS",2035,"Coal w/ CCS",2.8332821534892e-08,2.16940525674026e-08,6.6387689674894e-09
"USREP-ReEDS",2035,"Coal w/o CCS",190.233555881183,478.289864433881,-288.056308552698
"USREP-ReEDS",2035,"Gas w/ CCS",6.9165417276354e-08,6.0276688951682e-08,8.888728324672e-09
"USREP-ReEDS",2035,"Gas w/o CCS",736.564637343192,1481.48093382368,-744.916296480486
"USREP-ReEDS",2035,"Geothermal",3.27743551928021,5.10681358487055,-1.82937806559034
"USREP-ReEDS",2035,"Hydro",302.851426018867,301.438434320645,1.41299169822179
"USREP-ReEDS",2035,"Nuclear",721.659549085736,762.482535000788,-40.8229859150518
"USREP-ReEDS",2035,"Solar",824.56630686524,592.468633875791,232.097672989449
"USREP-ReEDS",2035,"Wind",1635.37808802282,750.972608191589,884.405479831234
