"figure_num","model","scenario","variable","unit","year","label","value","pct_diff"
"1.3X.summary_ranges_sens","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3683.07333616727,17.5882539135112
"1.3X.summary_ranges_sens","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3181.23945999667,25.5071056806331
"1.3X.summary_ranges_sens","EPS-EI","IRA.High","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3376.217326,24.4544054361236
"1.3X.summary_ranges_sens","EPS-EI","IRA.High","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3094.863156,27.5297201257991
"1.3X.summary_ranges_sens","EPS-EI","IRA.Low","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3748.936323,16.1145162895395
"1.3X.summary_ranges_sens","EPS-EI","IRA.Low","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3254.737543,23.786051670493
"1.3X.summary_ranges_sens","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3535.15117247745,21.7130291250754
"1.3X.summary_ranges_sens","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3265.13939647775,25.0828410628367
"1.3X.summary_ranges_sens","GCAM-CGS","IRA.High","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3427.25922697343,24.1023282478602
"1.3X.summary_ranges_sens","GCAM-CGS","IRA.High","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3218.90625123017,26.1436398435608
"1.3X.summary_ranges_sens","GCAM-CGS","IRA.Low","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3627.25144007183,19.6734413917788
"1.3X.summary_ranges_sens","GCAM-CGS","IRA.Low","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3280.83640411991,24.722680263076
"1.3X.summary_ranges_sens","GCAM-PNNL","All Advanced","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3573.8827144237,12.696595704705
"1.3X.summary_ranges_sens","GCAM-PNNL","All Advanced","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3225.48302293793,14.8499729953028
"1.3X.summary_ranges_sens","GCAM-PNNL","High Energy Price","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3403.82,16.8509161173383
"1.3X.summary_ranges_sens","GCAM-PNNL","High Energy Price","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3025.554,20.1279303062302
"1.3X.summary_ranges_sens","GCAM-PNNL","High Growth","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3725.001,9.00505296637341
"1.3X.summary_ranges_sens","GCAM-PNNL","High Growth","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3428.731,9.48439809926082
"1.3X.summary_ranges_sens","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3631.81913612816,11.2813151116756
"1.3X.summary_ranges_sens","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3310.10805031081,12.6159437615942
"1.3X.summary_ranges_sens","GCAM-PNNL","Low Energy Price","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3681.099,10.0774983602593
"1.3X.summary_ranges_sens","GCAM-PNNL","Low Energy Price","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3403.72,10.1446673706441
"1.3X.summary_ranges_sens","GCAM-PNNL","Low Growth","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3533.636,13.6797491715798
