"model","scenario","unit","datasrc","variable","region","figure_type","figure_no","title_name","variable_rename","flip_sign","regions","models","years","scenarios","type","x","y","facet1","facet2","color","page_filter","scales","alpha","year","value",".group"
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2023,1774.28125,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2024,1763.679321,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2025,1741.17627,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2026,1730.514038,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2027,1719.85144,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2028,1706.725342,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2029,1691.203857,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2030,1672.112427,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2031,1654.459106,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2032,1639.921631,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2033,1629.517456,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2034,1621.873047,1
"AEO.2023","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2035,1615.413452,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1757.4,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2005,1863.3,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2006,1863.6,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2007,1865.8,1
