"model","year","scenario","variable_rename","diff"
"USREP-ReEDS",2025,"IRA","CO2",-261.003092
"USREP-ReEDS",2030,"IRA","CO2",-537.768644
"USREP-ReEDS",2035,"IRA","CO2",-572.2751644
"EPS-EI",2025,"IRA","CO2",-161.03
"EPS-EI",2030,"IRA","CO2",-598.77
"EPS-EI",2035,"IRA","CO2",-861.988
"GCAM-CGS",2025,"IRA","CO2",-324.07769882079
"GCAM-CGS",2030,"IRA","CO2",-595.251227859953
"GCAM-CGS",2035,"IRA","CO2",-847.534987776718
"GCAM-PNNL",2025,"IRA","CO2",-278.68931205612
"GCAM-PNNL",2030,"IRA","CO2",-550.078623124734
"GCAM-PNNL",2035,"IRA","CO2",-598.343251210158
"Haiku-RFF",2025,"IRA","CO2",-188.69679780388
"Haiku-RFF",2030,"IRA","CO2",-429.918920165047
"Haiku-RFF",2035,"IRA","CO2",-406.562331431612
"IPM-NRDC",2025,"IRA","CO2",67.3727462991301
"IPM-NRDC",2030,"IRA","CO2",-248.533130051777
"IPM-NRDC",2035,"IRA","CO2",-307.372039081997
"IPM-EPA",2025,"IRA","CO2",67.3727462991301
"IPM-EPA",2030,"IRA","CO2",-331.863480256257
"IPM-EPA",2035,"IRA","CO2",-638.988588133399
"MARKAL-NETL",2025,"IRA","CO2",32.1700000000001
"MARKAL-NETL",2030,"IRA","CO2",-146.92
"MARKAL-NETL",2035,"IRA","CO2",-680.65
"NEMS-RHG",2025,"IRA","CO2",104.23135669998
"NEMS-RHG",2030,"IRA","CO2",-496.778725391701
"NEMS-RHG",2035,"IRA","CO2",-317.708638418243
"OP-NEMS",2022,"IRA","CO2",0.0845950000000357
"OP-NEMS",2023,"IRA","CO2",-0.0847169999999551
"OP-NEMS",2024,"IRA","CO2",-20.6796879999999
"OP-NEMS",2025,"IRA","CO2",-61.9614260000001
"OP-NEMS",2026,"IRA","CO2",-100.798706
"OP-NEMS",2027,"IRA","CO2",-146.770325
"OP-NEMS",2028,"IRA","CO2",-214.7099
"OP-NEMS",2029,"IRA","CO2",-292.688538
"OP-NEMS",2030,"IRA","CO2",-325.275146
"OP-NEMS",2031,"IRA","CO2",-352.585144
"OP-NEMS",2032,"IRA","CO2",-363.388672
"OP-NEMS",2033,"IRA","CO2",-420.283509
"OP-NEMS",2034,"IRA","CO2",-474.862275
"OP-NEMS",2035,"IRA","CO2",-500.699921
"REGEN-EPRI",2025,"IRA","CO2",-12.4573780235901
"REGEN-EPRI",2030,"IRA","CO2",-125.391160408132
"REGEN-EPRI",2035,"IRA","CO2",-597.11283508825
"RIO-REPEAT",2025,"IRA","CO2",23
"RIO-REPEAT",2030,"IRA","CO2",-240
"RIO-REPEAT",2035,"IRA","CO2",-405
"ReEDS-NREL",2025,"IRA","CO2",-208.67459111379
"ReEDS-NREL",2030,"IRA","CO2",-824.651950696098
"ReEDS-NREL",2035,"IRA","CO2",-841.79420139404
"AEO.2023",2022,"IRA","CO2",-0.246581999999989
"AEO.2023",2023,"IRA","CO2",0.0362549999999828
"AEO.2023",2024,"IRA","CO2",7.89843700000006
"AEO.2023",2025,"IRA","CO2",-21.9461670000001
"AEO.2023",2026,"IRA","CO2",-108.335572
"AEO.2023",2027,"IRA","CO2",-210.325317
"AEO.2023",2028,"IRA","CO2",-301.419983
"AEO.2023",2029,"IRA","CO2",-374.417115
"AEO.2023",2030,"IRA","CO2",-408.849305
"AEO.2023",2031,"IRA","CO2",-396.089844
"AEO.2023",2032,"IRA","CO2",-377.296387
"AEO.2023",2033,"IRA","CO2",-377.414795
"AEO.2023",2034,"IRA","CO2",-389.513427
"AEO.2023",2035,"IRA","CO2",-386.491943
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"Haiku-RFF",2021,"Historic","CO2",0
"IPM-NRDC",2021,"Historic","CO2",0
"IPM-EPA",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"ReEDS-NREL",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
