"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","Coal",-19.746672135677
"USREP-ReEDS",2030,"IRA","Coal",-48.6398504294275
"USREP-ReEDS",2035,"IRA","Coal",-51.6421515052952
"EPS-EI",2025,"IRA","Coal",-12.1497198410903
"EPS-EI",2030,"IRA","Coal",-49.6822329923897
"EPS-EI",2035,"IRA","Coal",-79.1958527394107
"GCAM-CGS",2025,"IRA","Coal",-29.5299894854288
"GCAM-CGS",2030,"IRA","Coal",-58.801165166074
"GCAM-CGS",2035,"IRA","Coal",-81.8260485280611
"GCAM-PNNL",2025,"IRA","Coal",-6.71112307090505
"GCAM-PNNL",2030,"IRA","Coal",-16.8231350695651
"GCAM-PNNL",2035,"IRA","Coal",-0.408258137371642
"MARKAL-NETL",2025,"IRA","Coal",11.3085799993871
"MARKAL-NETL",2030,"IRA","Coal",23.198050241749
"MARKAL-NETL",2035,"IRA","Coal",45.4603518418242
"NEMS-RHG",2025,"IRA","Coal",4.19540242273491
"NEMS-RHG",2030,"IRA","Coal",-59.5662602864771
"NEMS-RHG",2035,"IRA","Coal",-44.819159308095
"OP-NEMS",2022,"IRA","Coal",-0.00106801572307136
"OP-NEMS",2023,"IRA","Coal",0.469160726734974
"OP-NEMS",2024,"IRA","Coal",0.496712722365977
"OP-NEMS",2025,"IRA","Coal",-2.9307799252593
"OP-NEMS",2026,"IRA","Coal",-7.03294290046369
"OP-NEMS",2027,"IRA","Coal",-10.5645095939882
"OP-NEMS",2028,"IRA","Coal",-17.232902997282
"OP-NEMS",2029,"IRA","Coal",-27.8668399713242
"OP-NEMS",2030,"IRA","Coal",-32.6150148729745
"OP-NEMS",2031,"IRA","Coal",-36.2742351979063
"OP-NEMS",2032,"IRA","Coal",-37.3765495322694
"OP-NEMS",2033,"IRA","Coal",-44.3607393644877
"OP-NEMS",2034,"IRA","Coal",-51.3648688665917
"OP-NEMS",2035,"IRA","Coal",-57.74639739698
"REGEN-EPRI",2025,"IRA","Coal",1.26582278481013
"REGEN-EPRI",2030,"IRA","Coal",6.83229813664596
"REGEN-EPRI",2035,"IRA","Coal",-27.9778393351801
"RIO-REPEAT",2025,"IRA","Coal",0
"RIO-REPEAT",2030,"IRA","Coal",0
"RIO-REPEAT",2035,"IRA","Coal",0
"AEO.2023",2022,"IRA","Coal",-0.0295545421031052
"AEO.2023",2023,"IRA","Coal",-0.477723326242785
"AEO.2023",2024,"IRA","Coal",0.143470112222266
"AEO.2023",2025,"IRA","Coal",-0.420598403729999
"AEO.2023",2026,"IRA","Coal",-7.31045247040395
"AEO.2023",2027,"IRA","Coal",-15.73626366783
"AEO.2023",2028,"IRA","Coal",-25.0238539435335
"AEO.2023",2029,"IRA","Coal",-33.3924571796297
"AEO.2023",2030,"IRA","Coal",-37.5589076488519
"AEO.2023",2031,"IRA","Coal",-37.503937042479
"AEO.2023",2032,"IRA","Coal",-36.8542835315397
"AEO.2023",2033,"IRA","Coal",-34.9610020591008
"AEO.2023",2034,"IRA","Coal",-35.4202297369561
"AEO.2023",2035,"IRA","Coal",-34.9644801569298
"USREP-ReEDS",2021,"Historic","Coal",0
"EPS-EI",2021,"Historic","Coal",0
"GCAM-CGS",2021,"Historic","Coal",0
"GCAM-PNNL",2021,"Historic","Coal",0
"MARKAL-NETL",2021,"Historic","Coal",0
"NEMS-RHG",2021,"Historic","Coal",0
"OP-NEMS",2021,"Historic","Coal",0
"REGEN-EPRI",2021,"Historic","Coal",0
"RIO-REPEAT",2021,"Historic","Coal",0
"AEO.2023",2021,"Historic","Coal",0
