"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1950,"Coal",1.5491
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1950,"Gas",0.9569
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1950,"Hydro",1.196
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1950,"Other",0.5188
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1950,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1951,"Coal",1.7801
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1951,"Gas",1.4412
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1951,"Hydro",1.4092
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1951,"Other",0.2892
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1951,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1952,"Coal",2.7279
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1952,"Gas",1.0856
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1952,"Hydro",1.7084
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1952,"Other",0.3056
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1952,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1953,"Coal",4.0391
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1953,"Gas",2.0291
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1953,"Hydro",1.9929
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1953,"Other",0.7142
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1953,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1954,"Coal",5.1914
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1954,"Gas",4.0497
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1954,"Hydro",1.3056
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1954,"Other",0.4308
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1954,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1955,"Coal",6.6503
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1955,"Gas",2.4427
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1955,"Hydro",1.7547
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1955,"Other",0.754
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1955,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1956,"Coal",2.2395
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1956,"Gas",2.7292
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1956,"Hydro",1.2155
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1956,"Other",0.2274
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1956,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1957,"Coal",3.7618
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1957,"Gas",2.1636
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1957,"Hydro",1.4959
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1957,"Other",1.0707
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1957,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1958,"Coal",4.9387
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1958,"Gas",6.1038
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1958,"Hydro",2.8402
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1958,"Other",0.6384
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1958,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1959,"Coal",6.0754
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1959,"Gas",3.9242
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1959,"Hydro",1.7801
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1959,"Other",0.6655
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1959,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1960,"Coal",4.8973
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1960,"Gas",3.6035
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1960,"Hydro",1.6182
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1960,"Other",0.5873
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1960,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1961,"Coal",3.583
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1961,"Gas",4.4913
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1961,"Hydro",3.5609
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1961,"Other",0.6351
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1961,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1962,"Coal",3.7952
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1962,"Gas",3.4304
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1962,"Hydro",2.4949
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1962,"Other",0.49
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1962,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1963,"Coal",4.0013
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1963,"Gas",4.2055
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1963,"Hydro",3.4363
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1963,"Other",0.9089
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1963,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1964,"Coal",4.4685
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1964,"Gas",4.3827
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1964,"Hydro",2.3353
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1964,"Other",0.6707
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1964,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1965,"Coal",4.166
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1965,"Gas",6.1973
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1965,"Hydro",2.1361
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1965,"Other",1.366
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1965,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1966,"Coal",3.378
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1966,"Gas",4.9967
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1966,"Hydro",1.5783
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1966,"Other",0.6558
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1966,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1967,"Coal",6.7428
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1967,"Gas",8.4393
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1967,"Hydro",3.9666
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1967,"Other",1.219
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1967,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1968,"Coal",7.9189
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1968,"Gas",7.0057
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1968,"Hydro",2.8338
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1968,"Other",2.8687
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1968,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1969,"Coal",11.2744
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1969,"Gas",6.8073
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1969,"Hydro",2.0037
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1969,"Nuclear",1.2441
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1969,"Other",1.727
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1969,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1970,"Coal",10.4609
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1970,"Gas",7.8491
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1970,"Hydro",1.5701
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1970,"Nuclear",2.0765
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1970,"Other",1.5805
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1970,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1971,"Coal",12.1344
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1971,"Gas",9.7838
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1971,"Hydro",1.4883
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1971,"Nuclear",2.3419
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1971,"Other",2.2597
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1971,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1972,"Coal",11.8485
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1972,"Gas",8.4339
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1972,"Hydro",0.7327
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1972,"Nuclear",6.2064
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1972,"Other",4.4568
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1972,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1973,"Coal",14.1619
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1973,"Gas",8.9101
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1973,"Hydro",6.2432
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1973,"Nuclear",4.1223
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1973,"Other",2.3666
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1973,"Solar",0
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1974,"Coal",10.2028
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1974,"Gas",12.6156
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1974,"Hydro",1.4706
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Nuclear","GW/yr",1974,"Nuclear",9.7805
"2.5.avgcapadd","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1974,"Other",4.0918
