"model","scenario","variable_rename","year","value","figure_num"
"OP-NEMS","No IRA","Total Industry Emissions",2035,1239.155518,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2022,1382.125977,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2023,1368.256958,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2024,1329.564453,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2026,1302.894531,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2027,1287.601318,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2028,1283.514648,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2029,1273.452026,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2031,1260.465332,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2032,1264.094482,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2033,1263.117188,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2034,1251.128662,"Ap.5.IndEmis"
"OP-NEMS","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2025,1290.757446,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2030,1146.979248,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2035,1066.524902,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2022,1381.951416,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2023,1368.644043,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2024,1324.078003,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2026,1265.446533,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2027,1234.540161,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2028,1208.079712,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2029,1170.78418,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2031,1129.796753,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2032,1123.962402,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2033,1107.81189,"Ap.5.IndEmis"
