"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2007,"Passenger Cars",495.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2007,"Water",53.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2008,"LD Trucks",586.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2008,"MHD Trucks",380.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2008,"Passenger Cars",468.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2008,"Water",44.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2009,"LD Trucks",588.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2009,"MHD Trucks",341.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2009,"Passenger Cars",467.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2009,"Water",37.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2010,"LD Trucks",589
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2010,"MHD Trucks",353.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2010,"Passenger Cars",459.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2010,"Water",43.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2011,"LD Trucks",601.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2011,"MHD Trucks",346.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2011,"Passenger Cars",427.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2011,"Water",44.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2012,"LD Trucks",650.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2012,"MHD Trucks",344.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2012,"Passenger Cars",375.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2012,"Water",37.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2013,"LD Trucks",638.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2013,"MHD Trucks",350.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2013,"Passenger Cars",383.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2013,"Water",37
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2014,"LD Trucks",662.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2014,"MHD Trucks",364.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2014,"Passenger Cars",396.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2014,"Water",26.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2015,"LD Trucks",664.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2015,"MHD Trucks",370.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2015,"Passenger Cars",387.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2015,"Water",30.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2016,"LD Trucks",684.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2016,"MHD Trucks",374.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2016,"Passenger Cars",390.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2016,"Water",37.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2017,"LD Trucks",692.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2017,"MHD Trucks",387.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2017,"Passenger Cars",379
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2017,"Water",39.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2018,"LD Trucks",699.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2018,"MHD Trucks",398.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2018,"Passenger Cars",386.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2018,"Water",36.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2019,"LD Trucks",690.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2019,"MHD Trucks",400.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2019,"Passenger Cars",384.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2019,"Water",35.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2020,"LD Trucks",596.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2020,"MHD Trucks",377.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2020,"Passenger Cars",331.9
