"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2018,"Aircraft",173.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2019,"Aircraft",181.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2020,"Aircraft",122
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2021,"Aircraft",154.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1990,"Other",55.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1991,"Other",52.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1992,"Other",54.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1993,"Other",56.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1994,"Other",60.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1995,"Other",62.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1996,"Other",64
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1997,"Other",65.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1998,"Other",66.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",1999,"Other",69.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2000,"Other",69.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2001,"Other",66.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2002,"Other",66.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2003,"Other",68
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2004,"Other",72.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2005,"Other",72.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2006,"Other",77.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2007,"Other",77.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2008,"Other",72.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2009,"Other",64.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2010,"Other",65.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2011,"Other",67.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2012,"Other",68.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2013,"Other",69
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2014,"Other",72.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2015,"Other",71.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2016,"Other",68.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2017,"Other",70.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2018,"Other",72.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2019,"Other",70.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2020,"Other",63.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Total","Mt CO2/yr",2021,"Other",67.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1990,"Pipelines",47.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1991,"Pipelines",43.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1992,"Pipelines",43
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1993,"Pipelines",45.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1994,"Pipelines",49
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1995,"Pipelines",49.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1996,"Pipelines",49.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1997,"Pipelines",52.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1998,"Pipelines",47.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",1999,"Pipelines",47.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2000,"Pipelines",47.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2001,"Pipelines",45.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2002,"Pipelines",47.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2003,"Pipelines",42.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2004,"Pipelines",41.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2005,"Pipelines",42.8
